post_id,platform,post_date,post_type,content_category,likes,comments,shares,impressions,reach,engagement_rate,follower_count,hashtag_count,sentiment,link_clicks,video_views
POST-80673,LinkedIn,2025-03-29,Text,User Generated,27169,1746,1076,271690,184824,11.04,3318257,9,Positive,104,0
POST-80674,Instagram,2025-11-07,Live,Product Launch,48706,1500,2175,243530,207179,21.51,2181570,22,Neutral,189,355473
POST-80675,Facebook,2025-10-19,Video,Educational,35211,1169,1138,176055,131631,21.31,2124580,20,Positive,428,0
POST-80676,Instagram,2023-10-02,Video,Product Launch,32348,2776,481,388176,252724,9.17,1997174,3,Positive,89,288538
POST-80677,Twitter,2025-05-26,Image,Entertainment,35908,757,1545,394988,366721,9.67,3232462,12,Positive,320,0
POST-80678,TikTok,2023-05-11,Image,News,13205,899,21,224485,206809,6.29,2713268,28,Negative,232,440271
POST-80679,LinkedIn,2023-12-31,Story,Behind the Scenes,4103,109,106,32824,23084,13.16,1718746,20,Positive,78,0
POST-80680,LinkedIn,2025-08-14,Image,User Generated,39329,3244,617,825909,783779,5.23,4169416,2,Positive,155,0
POST-80681,Instagram,2024-05-06,Story,Promotional,32801,2222,124,852826,776033,4.12,4302579,3,Neutral,277,331388
POST-80682,Twitter,2025-05-25,Story,User Generated,45041,3244,1899,720656,376713,6.96,2026494,21,Positive,298,0
POST-80683,Instagram,2023-11-14,Live,Educational,23152,1382,439,532496,334370,4.69,3710739,14,Neutral,84,41407
POST-80684,Facebook,2023-06-20,Video,Promotional,41157,2284,321,699669,632367,6.25,2430090,6,Positive,329,0
POST-80685,LinkedIn,2024-12-24,Video,Promotional,45570,1048,1591,1002540,888398,4.81,1795230,12,Positive,620,0
POST-80686,YouTube,2024-10-10,Reel,Entertainment,24281,1354,493,121405,100380,21.52,3559373,4,Positive,195,200816
POST-80687,Instagram,2025-10-01,Image,News,23920,1197,60,382720,270000,6.58,4609526,12,Neutral,35,388236
POST-80688,TikTok,2024-09-13,Carousel,Product Launch,13116,72,220,118044,102809,11.36,1821325,8,Neutral,201,121435
POST-80689,YouTube,2025-02-01,Carousel,Promotional,31484,2469,1354,692648,403724,5.1,731688,0,Neutral,440,482340
POST-80690,YouTube,2025-12-11,Live,Tutorial,20227,496,887,121362,114341,17.81,2840574,6,Neutral,279,359725
POST-80691,YouTube,2024-03-31,Reel,User Generated,38775,3845,1241,659175,439909,6.65,232421,29,Neutral,478,113106
POST-80692,Facebook,2023-12-19,Live,News,25502,113,1251,714056,415882,3.76,3053225,29,Neutral,481,0
POST-80693,YouTube,2025-10-31,Reel,Entertainment,13002,109,248,247038,209071,5.41,1837567,0,Positive,15,480089
POST-80694,LinkedIn,2024-05-23,Carousel,User Generated,33048,2636,1490,396576,351682,9.37,4467083,8,Neutral,155,0
POST-80695,Facebook,2025-11-24,Image,News,48193,1133,971,819281,451944,6.14,976050,9,Neutral,912,0
POST-80696,TikTok,2024-02-21,Reel,News,26030,2412,241,234270,147275,12.24,3972434,2,Neutral,2,223880
POST-80697,Facebook,2025-07-02,Image,Product Launch,1010,84,52,19190,12769,5.97,1294765,3,Neutral,23,0
POST-80698,TikTok,2024-02-28,Carousel,Educational,17029,932,645,187319,96416,9.93,1010790,17,Positive,307,146704
POST-80699,YouTube,2025-07-16,Video,News,16229,473,640,438183,298620,3.96,3806153,3,Neutral,130,94030
POST-80700,TikTok,2023-11-14,Text,Tutorial,7889,693,270,228781,181884,3.87,4359659,25,Neutral,124,173745
POST-80701,LinkedIn,2023-08-14,Live,Tutorial,42541,741,142,595574,462373,7.29,1793885,20,Neutral,119,0
POST-80702,Twitter,2025-10-21,Video,News,35568,673,293,960336,796052,3.8,1550177,0,Positive,510,0
POST-80703,Instagram,2025-09-24,Live,Entertainment,27065,2155,521,189455,108730,15.7,4266245,14,Positive,177,108176
POST-80704,Facebook,2025-10-23,Reel,Product Launch,21492,222,296,580284,293543,3.79,388934,29,Neutral,72,0
POST-80705,LinkedIn,2023-08-18,Story,User Generated,34931,1695,390,593827,413591,6.23,4483812,12,Positive,327,0
POST-80706,Facebook,2025-04-11,Reel,Promotional,3409,120,50,57953,39115,6.18,3195055,28,Positive,62,0
POST-80707,YouTube,2025-08-10,Carousel,Promotional,9649,516,387,270172,138757,3.91,603199,25,Neutral,191,176587
POST-80708,Facebook,2023-08-20,Carousel,Product Launch,7291,29,149,43746,40406,17.07,3179194,12,Neutral,128,0
POST-80709,Instagram,2025-08-14,Story,Educational,3113,274,50,34243,29511,10.04,3110569,22,Negative,23,161025
POST-80710,Twitter,2024-07-20,Reel,User Generated,40403,3869,1890,1010075,796385,4.57,4772954,25,Positive,798,0
POST-80711,LinkedIn,2024-07-27,Reel,Entertainment,9052,185,202,217248,145016,4.34,4647507,15,Positive,73,0
POST-80712,Twitter,2023-03-25,Carousel,Entertainment,1515,81,76,31815,26556,5.26,3039967,3,Negative,10,0
POST-80713,TikTok,2025-11-04,Story,Promotional,6047,116,148,126987,95165,4.97,1128221,16,Neutral,30,491335
POST-80714,TikTok,2023-02-24,Image,User Generated,7974,528,230,167454,113850,5.21,1113052,11,Neutral,99,450083
POST-80715,TikTok,2023-11-20,Carousel,News,39203,1414,351,784060,672406,5.23,2284667,11,Negative,369,484130
POST-80716,Facebook,2024-11-07,Live,Product Launch,20181,1222,644,242172,202472,9.1,3341077,8,Neutral,407,0
POST-80717,TikTok,2024-12-16,Live,Tutorial,12,3,5,324,246,6.17,2468884,25,Neutral,1,449624
POST-80718,Twitter,2024-05-26,Reel,Tutorial,27619,2497,292,165714,98094,18.35,802644,4,Positive,220,0
POST-80719,LinkedIn,2025-05-19,Text,Promotional,30164,2988,397,180984,120134,18.54,79010,24,Neutral,586,0
POST-80720,Twitter,2024-12-03,Video,Tutorial,6524,602,299,45668,37531,16.26,1143812,26,Neutral,27,0
POST-80721,LinkedIn,2024-08-25,Image,Promotional,14525,1356,495,290500,240322,5.64,3583565,17,Positive,88,0
POST-80722,YouTube,2024-11-16,Image,User Generated,15811,580,18,442708,344659,3.71,2406916,3,Positive,298,390528
POST-80723,YouTube,2024-02-20,Story,Product Launch,2418,199,23,58032,52344,4.55,803289,13,Neutral,50,290616
POST-80724,TikTok,2025-02-02,Text,User Generated,39811,382,1152,796220,440089,5.19,2825132,2,Neutral,375,385881
POST-80725,Twitter,2025-10-11,Video,Promotional,26413,2486,143,264130,133041,11.0,95367,23,Positive,208,0
POST-80726,Facebook,2023-04-16,Live,Product Launch,2977,97,105,86333,70705,3.68,1935483,29,Neutral,8,0
POST-80727,YouTube,2023-01-16,Video,Behind the Scenes,20618,381,24,288652,199307,7.28,1224774,5,Negative,205,446834
POST-80728,Twitter,2023-12-31,Live,Tutorial,35730,1724,761,178650,119714,21.39,4481146,27,Neutral,623,0
POST-80729,YouTube,2025-12-14,Live,Tutorial,10446,85,402,125352,90656,8.72,4069186,17,Neutral,179,433701
POST-80730,LinkedIn,2024-11-09,Video,Promotional,1056,62,32,29568,20811,3.89,300853,0,Negative,25,0
POST-80731,TikTok,2024-11-13,Live,Promotional,23104,516,590,646912,559243,3.74,4321676,18,Neutral,265,49705
POST-80732,Instagram,2025-11-03,Live,Behind the Scenes,38264,762,1617,841808,714061,4.83,147963,24,Positive,690,100089
POST-80733,Instagram,2024-01-18,Image,Promotional,41927,307,604,670832,609446,6.39,4605659,9,Positive,765,17299
POST-80734,LinkedIn,2025-09-04,Story,Educational,42337,3340,1589,465707,340704,10.15,4366999,23,Positive,70,0
POST-80735,YouTube,2025-06-29,Story,Product Launch,36240,915,95,1050960,603211,3.54,382677,7,Positive,270,318106
POST-80736,LinkedIn,2024-10-21,Story,User Generated,42202,2300,1173,337616,262956,13.53,3530217,30,Positive,294,0
POST-80737,YouTube,2025-10-25,Carousel,Promotional,29589,2873,892,798903,645726,4.17,839644,0,Neutral,77,404701
POST-80738,Twitter,2023-05-16,Live,Behind the Scenes,34964,2340,1458,559424,349872,6.93,2103262,19,Neutral,460,0
POST-80739,Twitter,2024-11-18,Story,Tutorial,27035,441,771,567735,418605,4.98,1745054,1,Negative,341,0
POST-80740,Twitter,2023-07-11,Story,Behind the Scenes,2526,113,13,42942,29457,6.18,223042,15,Positive,49,0
POST-80741,Instagram,2025-11-13,Reel,User Generated,45910,305,1046,1239570,971026,3.81,3277334,0,Negative,531,439497
POST-80742,Instagram,2025-07-13,Carousel,Behind the Scenes,34115,2080,37,614070,506617,5.9,4780910,11,Negative,193,214540
POST-80743,TikTok,2023-11-25,Live,News,9910,782,57,109010,85958,9.86,4632878,13,Neutral,164,129256
POST-80744,LinkedIn,2025-03-17,Story,Entertainment,35702,1208,1678,1035358,721751,3.73,3975594,25,Neutral,48,0
POST-80745,Twitter,2023-07-28,Image,Entertainment,33829,2367,1125,744238,628423,5.01,1808164,20,Positive,600,0
POST-80746,Instagram,2024-06-25,Text,Behind the Scenes,49951,1621,1834,499510,423699,10.69,3378157,19,Positive,965,242573
POST-80747,TikTok,2023-07-14,Text,User Generated,33282,374,899,632358,323415,5.46,3876504,8,Neutral,30,446462
POST-80748,TikTok,2025-06-01,Video,Tutorial,6896,461,116,62064,34525,12.04,3474718,13,Positive,91,482191
POST-80749,LinkedIn,2023-09-16,Image,User Generated,20048,1004,646,380912,200044,5.7,2354368,30,Neutral,42,0
POST-80750,Twitter,2025-04-01,Video,News,41474,2484,1454,207370,167340,21.9,4154634,28,Negative,441,0
POST-80751,Facebook,2025-10-14,Reel,Tutorial,21422,1643,847,299908,248593,7.97,1139326,9,Positive,413,0
POST-80752,Twitter,2024-08-19,Image,Product Launch,24847,2155,1121,422399,271306,6.66,872802,28,Neutral,335,0
POST-80753,LinkedIn,2023-07-23,Live,Entertainment,19763,520,553,553364,352405,3.77,999607,0,Positive,224,0
POST-80754,YouTube,2024-01-05,Video,Product Launch,607,69,18,5463,5022,12.7,2363385,4,Positive,9,340267
POST-80755,TikTok,2023-12-24,Carousel,Promotional,41608,499,189,1123416,828216,3.76,2230937,0,Positive,451,215766
POST-80756,YouTube,2024-07-07,Live,Tutorial,506,9,19,7084,3599,7.54,502440,17,Positive,15,349721
POST-80757,Facebook,2023-06-30,Text,Product Launch,11728,136,288,304928,261441,3.99,3798642,13,Positive,24,0
POST-80758,YouTube,2025-08-03,Carousel,Entertainment,23358,512,543,116790,66830,20.9,4369571,6,Negative,179,215742
POST-80759,Facebook,2025-06-11,Reel,Entertainment,20858,1120,775,104290,79691,21.82,2665628,29,Negative,352,0
POST-80760,Twitter,2024-11-10,Carousel,Tutorial,44386,3708,107,1065264,546042,4.52,4286078,28,Negative,778,0
POST-80761,Facebook,2024-09-07,Reel,Promotional,15199,1189,479,288781,245515,5.84,297742,16,Negative,273,0
POST-80762,Twitter,2025-11-18,Carousel,Entertainment,15256,553,509,335632,262607,4.86,2938440,30,Negative,158,0
POST-80763,Facebook,2024-11-15,Story,News,13873,553,556,124857,82958,12.0,2623436,1,Positive,32,0
POST-80764,Instagram,2024-01-31,Carousel,Entertainment,7850,623,240,117750,67308,7.4,1077801,25,Positive,148,160347
POST-80765,YouTube,2024-08-26,Carousel,News,40659,2418,584,243954,156160,17.9,4759765,8,Positive,658,402625
POST-80766,LinkedIn,2023-09-21,Reel,Promotional,2423,210,82,58152,34519,4.67,1952313,28,Neutral,21,0
POST-80767,YouTube,2025-12-06,Reel,Entertainment,32619,2111,651,815475,624038,4.34,1858901,30,Negative,13,346853
POST-80768,Facebook,2023-06-14,Live,Promotional,5232,0,263,146496,136985,3.75,3736806,21,Neutral,53,0
POST-80769,Facebook,2024-07-06,Reel,Entertainment,39063,1195,65,898449,524661,4.49,2892903,17,Negative,538,0
POST-80770,Twitter,2025-04-03,Carousel,Educational,33286,2974,1649,599148,364550,6.33,2980863,28,Neutral,23,0
POST-80771,TikTok,2023-09-09,Carousel,News,39310,2407,1390,825510,468430,5.22,908327,6,Negative,326,195947
POST-80772,Instagram,2024-11-25,Carousel,Behind the Scenes,4156,186,207,116368,110468,3.91,638218,19,Positive,33,177666
POST-80773,TikTok,2023-02-04,Carousel,Promotional,38987,1333,1747,1130623,639018,3.72,4551858,18,Positive,729,288878
POST-80774,LinkedIn,2024-01-04,Story,Behind the Scenes,46314,3590,2203,833652,473225,6.25,3021721,5,Neutral,636,0
POST-80775,Instagram,2025-11-08,Live,News,47366,1367,302,236830,152086,20.7,4448450,16,Neutral,410,278204
POST-80776,LinkedIn,2024-03-19,Story,News,4930,126,38,147900,123692,3.44,143868,25,Negative,85,0
POST-80777,YouTube,2024-12-25,Carousel,Promotional,25256,1057,1002,277816,180395,9.83,1439240,10,Positive,402,296527
POST-80778,Instagram,2023-04-21,Image,Product Launch,9625,287,401,86625,52086,11.91,887724,13,Positive,123,467080
POST-80779,LinkedIn,2025-04-09,Story,User Generated,9178,811,78,256984,148793,3.92,692425,5,Negative,105,0
POST-80780,Instagram,2025-02-11,Reel,Tutorial,29017,1722,691,580340,393275,5.42,875005,30,Positive,493,356767
POST-80781,LinkedIn,2024-09-23,Reel,News,32029,3176,735,896812,721710,4.01,2733529,12,Neutral,33,0
POST-80782,TikTok,2024-05-30,Live,User Generated,1565,78,72,42255,31651,4.06,240161,9,Negative,9,482116
POST-80783,Twitter,2025-08-26,Video,Product Launch,23854,738,368,238540,224377,10.46,979709,18,Neutral,124,0
POST-80784,LinkedIn,2025-12-26,Reel,Tutorial,19334,1131,59,270676,242927,7.58,2320131,27,Positive,51,0
POST-80785,YouTube,2024-04-07,Story,Product Launch,19752,686,81,98760,85355,20.78,3007440,22,Positive,136,305624
POST-80786,Twitter,2023-01-31,Carousel,Tutorial,15883,192,495,79415,62719,20.87,2498979,8,Negative,258,0
POST-80787,Twitter,2024-12-12,Video,Tutorial,34818,1074,270,278544,165766,12.98,3837488,17,Neutral,344,0
POST-80788,Twitter,2025-04-09,Story,Behind the Scenes,29240,1241,402,380120,196070,8.12,2522091,11,Neutral,419,0
POST-80789,TikTok,2024-05-06,Video,Educational,26926,2315,804,727002,646522,4.13,3855993,27,Neutral,181,244237
POST-80790,TikTok,2023-02-28,Video,Product Launch,40192,1550,1513,723456,568536,5.98,229148,4,Neutral,310,27456
POST-80791,TikTok,2025-12-25,Video,Tutorial,10328,995,521,51640,29766,22.94,1986474,6,Neutral,158,441471
POST-80792,Twitter,2025-08-19,Carousel,Educational,40999,1884,152,368991,253715,11.66,2251326,25,Negative,294,0
POST-80793,Instagram,2024-01-12,Reel,Promotional,14717,40,634,367925,274338,4.18,4322783,16,Negative,269,144917
POST-80794,Facebook,2024-03-07,Live,User Generated,15073,1001,265,195949,182006,8.34,2245384,22,Neutral,135,0
POST-80795,YouTube,2023-08-14,Live,User Generated,35725,2078,659,214350,108607,17.94,1889618,0,Positive,630,54286
POST-80796,Facebook,2023-06-03,Image,Entertainment,4587,86,69,114675,75779,4.14,4550973,28,Neutral,34,0
POST-80797,Twitter,2024-08-02,Story,User Generated,17094,521,106,102564,63792,17.28,2166602,10,Neutral,11,0
POST-80798,Twitter,2023-09-08,Story,Product Launch,29133,415,617,728325,411858,4.14,4562501,23,Positive,409,0
POST-80799,LinkedIn,2024-11-06,Text,Product Launch,31699,1513,503,665679,542578,5.06,228758,6,Neutral,550,0
POST-80800,Twitter,2025-03-23,Live,Educational,14106,493,348,394968,309060,3.78,1660866,0,Positive,117,0
POST-80801,Twitter,2025-06-15,Reel,Promotional,32247,519,660,161235,83846,20.73,380706,14,Negative,164,0
POST-80802,YouTube,2024-08-19,Story,Tutorial,17417,1086,462,156753,109541,12.1,370969,14,Positive,224,313205
POST-80803,Facebook,2025-04-30,Carousel,Promotional,14994,1257,248,134946,115774,12.23,3115596,12,Positive,190,0
POST-80804,Twitter,2024-07-28,Reel,Entertainment,45089,2094,357,1217403,694250,3.91,3159595,3,Negative,124,0
POST-80805,Instagram,2023-02-22,Live,Tutorial,49649,3505,1194,645437,607380,8.42,4401103,23,Neutral,572,376959
POST-80806,Instagram,2023-06-18,Reel,Behind the Scenes,19586,442,174,293790,259274,6.88,2532655,30,Positive,154,449607
POST-80807,YouTube,2023-11-13,Text,Tutorial,28594,1263,285,371722,189748,8.11,1451896,19,Neutral,455,179863
POST-80808,TikTok,2025-05-19,Story,Product Launch,25313,1949,1245,455634,321736,6.26,2262355,13,Positive,468,355557
POST-80809,YouTube,2024-08-13,Reel,Product Launch,40799,3638,1358,1019975,528392,4.49,2512373,18,Negative,259,499158
POST-80810,TikTok,2023-11-17,Video,User Generated,20965,1726,479,104825,82551,22.1,4298076,30,Positive,276,494619
POST-80811,LinkedIn,2024-04-12,Reel,Entertainment,32354,599,948,841204,678047,4.03,4685274,8,Positive,373,0
POST-80812,LinkedIn,2025-08-22,Text,Promotional,45635,2707,2009,730160,529022,6.9,3076295,0,Positive,847,0
POST-80813,Instagram,2023-07-20,Image,Educational,33782,2173,1226,776986,635180,4.79,1493903,26,Neutral,166,225802
POST-80814,Instagram,2023-05-27,Carousel,Behind the Scenes,38393,3656,589,1036611,539664,4.11,4936801,20,Positive,134,298963
POST-80815,Facebook,2024-06-07,Image,News,18235,1051,134,273525,246002,7.1,1421585,14,Neutral,162,0
POST-80816,Twitter,2024-02-05,Live,Educational,27108,1659,1010,813240,649821,3.66,4163330,25,Positive,140,0
POST-80817,Instagram,2024-01-27,Video,Promotional,19373,255,620,213103,198451,9.5,3712800,22,Neutral,296,353065
POST-80818,Twitter,2023-08-08,Carousel,User Generated,22840,1652,548,159880,86085,15.66,3760156,26,Neutral,168,0
POST-80819,Twitter,2024-10-14,Carousel,Tutorial,13243,564,440,185402,161150,7.68,3916629,2,Positive,178,0
POST-80820,YouTube,2024-07-08,Text,Tutorial,15304,404,43,260168,241933,6.05,4011150,0,Positive,115,18100
POST-80821,Twitter,2025-02-03,Live,Behind the Scenes,47949,3181,47,767184,440368,6.67,1368871,10,Positive,455,0
POST-80822,Facebook,2024-11-16,Video,News,5789,209,141,167881,128594,3.66,3836610,20,Neutral,56,0
POST-80823,TikTok,2024-02-15,Reel,Entertainment,45323,1131,1320,1042429,777340,4.58,4658621,28,Positive,351,284099
POST-80824,YouTube,2024-03-14,Live,Behind the Scenes,31503,162,1465,756072,672614,4.38,4866900,25,Positive,582,154876
POST-80825,Instagram,2023-12-16,Live,Promotional,5608,214,264,157024,101251,3.88,3091074,12,Neutral,69,185580
POST-80826,TikTok,2023-08-12,Reel,Tutorial,13386,1040,390,267720,215919,5.53,87374,24,Neutral,87,465752
POST-80827,TikTok,2023-02-28,Story,News,29348,1062,201,733700,674786,4.17,151778,16,Neutral,187,210252
POST-80828,Facebook,2025-02-14,Text,Product Launch,21731,1978,31,543275,301344,4.37,1835207,4,Negative,221,0
POST-80829,YouTube,2024-09-29,Text,Product Launch,6807,260,195,68070,41199,10.67,490471,2,Negative,115,415563
POST-80830,YouTube,2025-10-18,Story,Product Launch,39051,1855,1645,898173,654737,4.74,1329358,4,Neutral,684,50709
POST-80831,Instagram,2025-11-20,Text,User Generated,28052,2210,144,224416,168617,13.55,3982612,11,Negative,444,271882
POST-80832,LinkedIn,2025-03-13,Image,User Generated,19766,500,406,533682,442874,3.87,2331891,26,Neutral,315,0
POST-80833,Instagram,2023-09-16,Story,Behind the Scenes,27258,997,1325,381612,221976,7.75,204253,28,Positive,489,244108
POST-80834,LinkedIn,2023-03-15,Reel,Tutorial,5682,388,50,119322,100073,5.13,4752920,10,Neutral,56,0
POST-80835,Instagram,2025-05-07,Carousel,News,12141,595,312,72846,45021,17.91,1826249,28,Positive,160,63211
POST-80836,Instagram,2025-04-10,Video,Promotional,47094,2012,260,894786,824758,5.52,1283787,9,Positive,229,496793
POST-80837,LinkedIn,2024-07-18,Carousel,Behind the Scenes,27550,836,627,303050,223637,9.57,4997393,20,Positive,72,0
POST-80838,TikTok,2024-06-26,Story,Educational,29759,2030,600,148795,85768,21.77,4030804,12,Positive,302,450618
POST-80839,Twitter,2023-04-30,Live,Educational,9319,487,427,214337,145747,4.77,1564798,30,Positive,158,0
POST-80840,Instagram,2023-02-27,Live,Promotional,46193,4091,149,1201018,707112,4.2,1877980,20,Positive,84,195610
POST-80841,YouTube,2025-10-07,Story,User Generated,36222,1109,220,217332,145186,17.28,3216553,8,Positive,408,448045
POST-80842,YouTube,2023-12-06,Reel,Behind the Scenes,2447,229,77,61175,50028,4.5,3358791,5,Positive,27,178295
POST-80843,YouTube,2025-01-01,Text,Behind the Scenes,47219,236,2065,1274913,990349,3.88,2108597,6,Positive,827,356424
POST-80844,Instagram,2024-11-07,Text,Product Launch,22548,2134,660,225480,174982,11.24,434274,20,Neutral,11,59455
POST-80845,TikTok,2023-09-01,Video,Behind the Scenes,10299,593,171,236877,224137,4.67,364724,21,Neutral,51,323635
POST-80846,LinkedIn,2025-08-15,Reel,Product Launch,42089,4073,1209,378801,285160,12.51,2501356,1,Negative,439,0
POST-80847,Instagram,2023-04-16,Story,Tutorial,11671,30,555,93368,62033,13.13,4603541,0,Neutral,150,459692
POST-80848,LinkedIn,2024-04-04,Live,Entertainment,27296,2426,480,163776,143795,18.44,277300,3,Neutral,101,0
POST-80849,Twitter,2023-11-27,Reel,Product Launch,2276,186,36,31864,19560,7.84,4918098,5,Positive,25,0
POST-80850,LinkedIn,2024-04-30,Image,Promotional,43802,1127,819,262812,219205,17.41,2074521,24,Neutral,410,0
POST-80851,TikTok,2025-06-01,Video,Promotional,30698,2137,1309,276282,168841,12.36,1895815,21,Negative,410,288810
POST-80852,TikTok,2023-12-21,Story,Promotional,45134,1930,1044,1354020,1048903,3.55,2867283,26,Positive,354,439369
POST-80853,LinkedIn,2024-11-06,Carousel,Educational,21839,1249,968,131034,82201,18.36,3693992,14,Neutral,200,0
POST-80854,YouTube,2023-10-15,Video,User Generated,34872,931,81,662568,432065,5.42,1207447,0,Positive,389,444243
POST-80855,YouTube,2024-03-06,Carousel,User Generated,1705,156,40,37510,22371,5.07,1617258,5,Positive,4,471422
POST-80856,LinkedIn,2023-12-16,Story,Tutorial,25268,977,367,227412,151984,11.7,135925,25,Neutral,26,0
POST-80857,TikTok,2025-09-08,Live,Behind the Scenes,11721,989,109,175815,96125,7.29,1664502,25,Neutral,193,211984
POST-80858,LinkedIn,2024-03-18,Reel,Educational,12617,318,438,353276,211030,3.79,95582,13,Positive,246,0
POST-80859,Twitter,2025-10-07,Story,Tutorial,21146,1995,849,634380,445484,3.78,3220482,20,Negative,291,0
POST-80860,Instagram,2024-03-20,Video,Product Launch,33685,950,1425,168425,118547,21.41,746366,8,Negative,619,312621
POST-80861,TikTok,2025-04-18,Carousel,Promotional,5944,325,174,95104,87431,6.77,3487122,27,Neutral,66,246444
POST-80862,Facebook,2024-12-24,Live,Behind the Scenes,33118,1218,1506,463652,333400,7.73,2757192,4,Positive,460,0
POST-80863,TikTok,2024-11-22,Video,Promotional,48683,2050,2009,924977,553126,5.7,3883535,30,Positive,492,10050
POST-80864,TikTok,2024-10-04,Image,Educational,19818,1789,263,495450,438097,4.41,118273,26,Positive,387,87842
POST-80865,YouTube,2023-04-23,Carousel,Behind the Scenes,38753,626,822,271271,185930,14.82,644054,24,Neutral,639,219301
POST-80866,YouTube,2023-08-20,Reel,Product Launch,42678,1881,784,1109628,929437,4.09,279884,8,Positive,514,403322
POST-80867,YouTube,2023-07-12,Reel,Tutorial,33401,1734,486,367411,304051,9.7,784755,29,Positive,294,130310
POST-80868,Twitter,2025-02-23,Carousel,Educational,47371,4737,1148,1231646,668163,4.32,2723269,4,Neutral,154,0
POST-80869,Twitter,2023-09-11,Live,News,30627,2585,1011,581913,390650,5.88,1701732,16,Positive,271,0
POST-80870,Instagram,2023-07-26,Live,User Generated,23401,1297,763,631827,516416,4.03,3328679,28,Neutral,451,199759
POST-80871,Twitter,2023-11-28,Live,News,27467,1244,1000,604274,486364,4.92,742583,20,Positive,310,0
POST-80872,Instagram,2023-07-24,Text,Tutorial,11430,672,63,194310,100089,6.26,4564640,28,Positive,21,292872
POST-80873,Instagram,2023-03-24,Live,Promotional,25767,2533,718,309204,207047,9.38,2522189,9,Positive,392,205739
POST-80874,TikTok,2023-05-09,Text,User Generated,35523,2157,1363,1030167,836300,3.79,4877291,30,Positive,54,200183
POST-80875,Instagram,2024-09-05,Image,News,38980,70,667,194900,113490,20.38,4360234,5,Neutral,480,276793
POST-80876,Facebook,2024-02-01,Reel,News,16704,1328,534,116928,104560,15.88,1253486,19,Positive,279,0
POST-80877,Facebook,2023-07-16,Live,Educational,35438,701,863,815074,771862,4.54,4372756,16,Neutral,501,0
POST-80878,TikTok,2025-04-26,Story,News,14061,298,354,295281,153329,4.98,4465062,16,Neutral,100,309508
POST-80879,Instagram,2025-12-08,Text,Entertainment,35505,187,833,710100,623574,5.14,2540806,8,Neutral,354,286328
POST-80880,LinkedIn,2025-07-13,Video,Educational,24763,2166,89,346682,326413,7.79,2072700,11,Negative,450,0
POST-80881,Twitter,2023-04-12,Reel,Educational,27036,1960,307,162216,99860,18.06,4922666,2,Positive,10,0
POST-80882,Facebook,2023-11-27,Carousel,Behind the Scenes,7069,716,246,197932,153357,4.06,88569,23,Positive,100,0
POST-80883,Facebook,2025-10-04,Live,Educational,13505,256,543,67525,44224,21.18,2933778,24,Negative,7,0
POST-80884,Facebook,2024-02-15,Video,Product Launch,48776,1063,2344,438984,229429,11.89,2415687,16,Positive,524,0
POST-80885,TikTok,2024-03-12,Reel,Product Launch,18125,1103,128,362500,227953,5.34,2598931,12,Neutral,77,495041
POST-80886,Instagram,2024-01-17,Live,News,38694,3776,1911,657798,592251,6.75,4398431,11,Neutral,513,59433
POST-80887,Facebook,2023-10-14,Image,Promotional,14970,195,150,449100,382687,3.41,4819337,15,Positive,36,0
POST-80888,Twitter,2024-03-21,Video,Product Launch,25762,574,799,309144,174002,8.78,1127516,29,Positive,317,0
POST-80889,YouTube,2023-11-04,Reel,User Generated,18422,301,460,257908,199168,7.44,4153303,24,Negative,67,14144
POST-80890,LinkedIn,2023-04-25,Reel,User Generated,337,9,21,2359,1778,15.56,1033197,25,Neutral,2,0
POST-80891,Twitter,2024-12-17,Reel,Educational,38307,3282,692,804447,649470,5.26,1359047,20,Negative,677,0
POST-80892,Instagram,2023-11-30,Text,Entertainment,11858,741,490,213444,115069,6.13,2557183,30,Positive,232,476061
POST-80893,YouTube,2023-09-23,Video,Behind the Scenes,36910,1381,1373,258370,150418,15.35,4956084,18,Positive,677,243753
POST-80894,Twitter,2023-10-13,Story,Product Launch,40739,3389,1154,1018475,758347,4.45,3476093,12,Positive,419,0
POST-80895,Twitter,2023-10-06,Carousel,Tutorial,22264,589,704,133584,84378,17.63,2027859,2,Positive,320,0
POST-80896,YouTube,2024-06-30,Image,Educational,4782,96,111,133896,86358,3.73,1007019,27,Neutral,22,131705
POST-80897,YouTube,2025-03-30,Reel,News,13823,1366,426,276460,154737,5.65,2140900,23,Positive,157,379298
POST-80898,Twitter,2024-07-22,Video,Behind the Scenes,23158,524,600,578950,378977,4.19,3792515,28,Positive,48,0
POST-80899,Instagram,2024-04-06,Reel,User Generated,49713,851,1376,1391964,1316555,3.73,4121956,28,Positive,887,89293
POST-80900,YouTube,2024-05-19,Text,Promotional,27361,1946,764,492498,411719,6.11,4131425,18,Positive,511,442016
POST-80901,LinkedIn,2024-08-10,Reel,Tutorial,6429,512,316,180012,116776,4.03,3555052,29,Positive,98,0
POST-80902,Instagram,2025-03-25,Text,News,18919,1672,276,208109,122165,10.03,3818439,12,Positive,352,96025
POST-80903,TikTok,2025-08-16,Story,Tutorial,7545,148,50,98085,84070,7.89,1866524,13,Positive,2,357072
POST-80904,Twitter,2025-06-16,Image,Product Launch,32879,3118,925,558943,450677,6.61,2893893,6,Positive,489,0
POST-80905,Instagram,2024-06-04,Live,Tutorial,20447,939,131,531622,266430,4.05,4099890,0,Neutral,254,355264
