respondent_id,department,job_level,tenure_years,engagement_score,satisfaction_score,manager_score,worklife_balance,growth_opportunity,recognition,compensation_fairness,team_collaboration,overall_recommend,response_date,attrition_risk
RESP-30544,Sales,Senior IC,2.7,3.72,3.89,3.85,5,3.26,3.65,1.15,3.5,5,2024-10-17,Low
RESP-30545,Product,Team Lead,15.4,3.92,3.07,5,3.51,2.59,3.34,2.85,4.73,10,2025-09-14,Low
RESP-30546,Customer Support,Manager,6.0,2.4,4.28,2.82,3.03,2.54,2.95,2.96,3.65,10,2023-09-03,Medium
RESP-30547,HR,Team Lead,6.3,3.55,4.12,3.64,3.25,2.64,3.3,4.01,3.55,1,2023-08-23,Low
RESP-30548,Operations,VP,18.0,4.72,3.78,3.36,4.16,3.21,4.67,3.4,3.18,7,2025-10-15,Low
RESP-30549,Product,Manager,11.5,3.27,4.23,4.1,3.18,2.75,5,2.25,2.33,2,2023-06-01,Low
RESP-30550,Design,Team Lead,6.5,4.17,2.39,3.52,2.63,3.31,4.05,3.3,3.66,10,2024-05-16,Low
RESP-30551,Finance,Team Lead,15.3,5,5,4.02,3.37,3.9,2.23,3.28,3.46,2,2023-08-12,Low
RESP-30552,Customer Support,Manager,15.8,3.77,3.66,3.49,2.05,2.63,3.01,3.09,3.98,4,2025-02-22,Low
RESP-30553,Design,VP,12.1,4.15,3.06,4.68,2.93,3.42,2.36,3.37,3.21,7,2023-06-01,Low
RESP-30554,HR,Senior IC,4.0,4.2,2.62,3.27,4.27,2.84,2.64,4.13,4.18,10,2025-10-05,Low
RESP-30555,Customer Support,Senior IC,3.6,4.22,3.13,2.94,3.75,3.68,3.7,2.94,3.9,4,2025-11-03,Low
RESP-30556,Customer Support,Team Lead,1.6,2.02,2.93,4.58,4.01,3.83,3.57,2.6,3.15,8,2025-01-27,Medium
RESP-30557,Marketing,Individual Contributor,19.1,1.14,3.21,4.74,1.86,3.21,3.74,3.89,3.52,6,2024-03-20,Medium
RESP-30558,Legal,VP,15.4,3.12,5,3.27,3.72,2.46,4.18,2.52,3.37,10,2025-07-23,Medium
RESP-30559,Design,Director,0.9,4.5,3.38,3.78,2.58,4.47,2.67,3.03,3.21,1,2023-05-16,Low
RESP-30560,Marketing,Senior IC,16.7,3.03,1.81,3.94,3.05,2.44,3.98,2.71,3.61,7,2025-07-28,Medium
RESP-30561,Finance,Director,13.2,4.93,3.52,3.86,1.71,5,4.05,1.52,3.65,5,2024-06-12,Low
RESP-30562,Design,Team Lead,2.6,3.55,4.05,3.24,2.6,2.54,3.58,3.51,3.35,7,2023-07-13,Low
RESP-30563,Product,Team Lead,13.9,3.85,4.59,3.15,3.09,3.18,3.27,3.6,3.16,6,2024-07-10,Low
RESP-30564,HR,VP,3.9,3.12,3.44,4.31,2.58,2.71,2.55,3.01,1.87,2,2025-07-06,Medium
RESP-30565,Marketing,Director,14.6,4.12,2.88,2.45,4.05,3.46,4.49,2.84,3.92,3,2025-05-05,Low
RESP-30566,Operations,VP,12.6,4.33,4.96,5,3.06,3.06,4.41,2.6,3.64,5,2023-05-04,Low
RESP-30567,Design,Director,8.2,2.55,4.03,4.59,2.83,3.74,3.82,3.47,4.16,4,2024-03-04,Medium
RESP-30568,Marketing,Team Lead,8.7,3.7,4.0,2.99,3.34,3.24,3.76,1,4.72,5,2023-04-24,Low
RESP-30569,Design,Team Lead,11.6,4.76,3.04,3.94,3.04,4.21,3.95,2.63,2.05,1,2024-01-26,Low
RESP-30570,Finance,VP,13.9,3.9,3.19,3.38,3.5,3.53,4.04,1.55,3.39,2,2023-04-17,Low
RESP-30571,Operations,Individual Contributor,16.5,5,5,3.23,3.32,2.93,3.49,3.18,3.78,2,2024-01-30,Low
RESP-30572,Sales,Team Lead,8.0,3.33,3.82,3.12,5,2.36,1.93,2.89,2.14,8,2023-09-04,Low
RESP-30573,Legal,Senior IC,11.1,3.94,3.42,4.4,3.06,3.14,3.79,3.43,3.39,8,2023-05-20,Low
RESP-30574,Design,Director,5.2,2.69,3.39,3.53,3.43,2.29,4.19,5,4.15,9,2023-06-12,Medium
RESP-30575,Product,VP,11.9,2.47,2.71,3.27,3.94,3.24,2.61,4.48,3.18,5,2024-07-25,Medium
RESP-30576,Customer Support,Director,12.9,3.95,3.29,3.47,4.43,3.79,2.56,2.47,4.2,5,2025-05-22,Low
RESP-30577,Operations,Director,7.2,3.37,3.55,3.84,4.97,2.22,2.92,2.74,3.47,10,2024-02-06,Low
RESP-30578,Design,Director,14.8,3.81,3.49,2.64,1.96,4.18,3.63,2.43,3.25,4,2024-04-06,Low
RESP-30579,Product,Director,10.2,2.92,5,3.26,2.5,3.5,4.79,5,3.51,10,2025-07-01,Medium
RESP-30580,Design,Manager,4.5,3.71,3.16,2.85,2.76,2.72,2.56,3.81,3.4,9,2025-03-06,Low
RESP-30581,Sales,Manager,19.9,5,3.23,3.48,4.89,3.07,3.07,2.52,4.01,5,2024-06-08,Low
RESP-30582,Design,Manager,11.0,2.76,5,4.61,3.3,2.77,3.72,2.45,3.45,2,2023-08-30,Medium
RESP-30583,Product,Manager,14.8,3.2,2.12,2.16,2.58,4.34,4.26,2.09,2.46,4,2024-02-01,Low
RESP-30584,Finance,Team Lead,15.0,2.97,3.73,3.59,2.02,1.82,1.89,3.98,3.38,8,2025-03-15,Medium
RESP-30585,Finance,VP,17.4,3.99,3.13,3.58,4.5,3.05,4.84,1.95,3.52,1,2024-12-06,Low
RESP-30586,Design,Director,0.7,4.32,3.75,3.5,2.81,3.57,3.31,4.92,2.19,7,2023-07-24,Low
RESP-30587,Design,Director,11.6,3.09,2.97,2.12,1,3.62,3.0,4.4,3.92,4,2025-04-30,Medium
RESP-30588,HR,Director,2.2,3.49,4.5,3.83,2.56,2.84,2.47,1.11,4.83,1,2023-06-05,Low
RESP-30589,Customer Support,VP,2.7,3.67,4.24,3.7,3.42,3.0,4.29,3.18,4.13,1,2023-05-15,Low
RESP-30590,Legal,Individual Contributor,1.3,4.53,3.31,3.44,3.55,3.24,2.24,2.6,5,8,2024-08-01,Low
RESP-30591,Sales,Individual Contributor,8.4,5,3.06,3.0,4.49,3.99,3.33,3.33,3.09,5,2025-07-26,Low
RESP-30592,Engineering,VP,14.6,2.97,2.32,3.31,3.51,3.87,3.44,4.3,3.95,4,2024-11-10,Medium
RESP-30593,Finance,VP,7.6,3.06,3.6,4.37,2.85,2.82,3.67,2.07,4.45,4,2025-09-22,Medium
RESP-30594,Legal,Director,17.2,3.3,5,4.03,2.33,2.12,3.08,3.81,3.7,5,2024-07-12,Low
RESP-30595,HR,Senior IC,11.6,3.86,3.32,3.97,4.32,3.24,2.6,2.87,3.25,9,2023-04-01,Low
RESP-30596,Sales,Senior IC,6.7,3.86,3.21,4.69,3.88,4.24,3.06,3.94,4.11,6,2025-07-17,Low
RESP-30597,Sales,Senior IC,4.0,2.96,3.75,3.43,3.95,3.91,3.24,2.56,3.58,10,2025-03-29,Medium
RESP-30598,Product,VP,7.2,4.24,2.49,4.12,2.99,1.62,2.63,2.21,2.49,3,2024-04-20,Low
RESP-30599,Legal,VP,16.5,2.87,3.17,5,4.48,2.83,3.39,3.18,2.77,8,2023-11-26,Medium
RESP-30600,Customer Support,Senior IC,18.1,2.83,1.54,4.77,4.46,3.27,3.97,2.18,2.77,1,2025-11-28,Medium
RESP-30601,Sales,Team Lead,8.6,2.96,2.94,3.69,3.12,4.02,4.16,2.42,4.14,9,2024-12-04,Medium
RESP-30602,Product,Senior IC,7.0,3.38,3.24,5,5,2.97,3.72,4.25,3.58,7,2024-06-03,Low
RESP-30603,Product,Team Lead,19.5,3.11,1.91,2.34,3.33,3.79,2.37,3.19,3.01,5,2025-04-06,Medium
RESP-30604,Marketing,Team Lead,9.2,2.47,3.07,3.95,3.31,2.71,1.84,2.47,3.15,9,2024-07-14,Medium
RESP-30605,Customer Support,Team Lead,17.5,4.11,4.72,2.26,2.91,2.01,1.57,4.02,3.41,5,2025-11-01,Low
RESP-30606,Finance,Team Lead,10.8,4.16,5,3.41,2.75,4.48,2.13,4.66,4.17,8,2024-07-03,Low
RESP-30607,Finance,Director,10.0,2.28,1.74,3.64,4.0,4.53,3.65,1.21,3.9,1,2023-11-20,High
RESP-30608,Customer Support,Team Lead,13.7,4.61,4.47,3.2,3.93,4.06,2.51,1.09,4.68,3,2025-10-26,Low
RESP-30609,Marketing,Director,18.0,4.16,4.14,2.53,3.18,3.02,2.58,1.49,4.29,2,2023-12-31,Low
RESP-30610,Sales,Team Lead,17.1,3.42,3.73,2.94,3.48,4.0,3.69,1,2.99,5,2025-11-09,Low
RESP-30611,Finance,Individual Contributor,2.0,2.99,3.83,3.57,4.12,4.07,4.96,4.94,2.43,1,2024-01-08,Medium
RESP-30612,Legal,Manager,3.4,3.23,3.02,3.35,3.11,4.03,5,4.88,2.84,9,2025-05-19,Low
RESP-30613,Sales,VP,10.7,4.4,3.06,3.97,3.08,4.79,4.29,1.15,3.83,7,2025-10-29,Low
RESP-30614,Finance,Director,3.1,4.0,3.39,3.28,4.96,3.68,4.29,3.25,4.22,8,2025-03-01,Low
RESP-30615,Customer Support,Team Lead,16.5,4.1,2.68,3.14,4.74,3.08,2.92,3.17,1.57,1,2025-02-21,Low
RESP-30616,Marketing,Senior IC,4.2,4.56,2.29,4.32,1.98,4.55,3.08,3.19,3.33,7,2023-02-11,Low
RESP-30617,Operations,Manager,6.6,2.78,3.65,3.76,2.48,2.27,2.31,3.83,3.45,4,2025-01-28,Medium
RESP-30618,Customer Support,Individual Contributor,6.0,3.42,1.43,3.13,5,5,3.2,3.11,3.29,10,2024-12-10,Low
RESP-30619,Engineering,Senior IC,3.4,4.1,4.56,5,3.17,4.92,3.22,1.52,3.58,3,2024-10-19,Low
RESP-30620,Design,VP,1.2,3.6,3.2,3.72,3.12,2.9,3.63,1.85,4.12,9,2025-07-07,Low
RESP-30621,Product,Director,2.2,3.61,3.85,3.76,2.33,3.37,2.32,2.18,4.16,3,2023-07-08,Low
RESP-30622,Design,Individual Contributor,1.3,4.19,4.01,4.19,3.52,2.24,3.2,2.8,3.17,1,2024-05-21,Low
RESP-30623,Product,Individual Contributor,10.2,3.46,3.16,2.78,1.75,2.5,2.91,3.8,4.7,7,2024-05-06,Low
RESP-30624,Engineering,VP,5.9,3.22,1.73,4.34,2.87,4.45,3.91,3.12,3.58,3,2025-08-04,Low
RESP-30625,Sales,Team Lead,17.5,4.04,3.88,5,1.61,5,2.46,2.7,3.3,9,2024-08-23,Low
RESP-30626,Marketing,Director,14.0,3.32,3.62,2.76,2.11,2.75,2.28,1.99,4.56,1,2025-08-26,Low
RESP-30627,Operations,Manager,0.7,4.04,3.64,2.56,3.54,3.51,4.36,4.74,4.26,1,2024-12-12,Low
RESP-30628,Sales,VP,16.6,3.23,4.55,4.65,4.71,3.2,5,4.24,4.12,3,2023-07-28,Low
RESP-30629,Legal,Individual Contributor,4.6,3.26,3.15,3.3,2.62,3.28,3.91,1,3.47,8,2025-05-07,Low
RESP-30630,Engineering,Individual Contributor,1.8,2.31,3.12,2.81,2.55,3.73,4.0,2.96,2.09,5,2024-12-15,Medium
RESP-30631,Customer Support,Manager,10.4,3.2,3.73,4.07,3.0,4.4,3.78,3.15,3.5,1,2023-01-13,Low
RESP-30632,Product,Senior IC,11.7,2.86,4.24,3.04,4.21,2.64,3.09,2.94,4.42,1,2023-10-18,Medium
RESP-30633,Finance,Manager,19.6,3.05,2.85,3.17,2.86,1,3.92,2.4,3.77,7,2025-06-24,Medium
RESP-30634,HR,Manager,11.2,3.83,2.57,3.65,2.85,2.56,3.62,2.44,3.37,4,2024-08-21,Low
RESP-30635,HR,Director,5.0,3.6,4.0,4.13,1.96,2.56,3.15,2.78,3.0,1,2023-08-08,Low
RESP-30636,HR,VP,1.1,3.86,4.6,4.47,2.19,3.46,3.29,3.57,2.93,3,2023-03-16,Low
RESP-30637,Finance,Director,18.7,3.35,4.11,3.17,3.72,3.34,2.18,3.13,4.09,6,2023-10-09,Low
RESP-30638,Customer Support,VP,11.8,4.81,3.16,3.51,4.34,2.37,2.36,3.16,3.17,6,2024-10-26,Low
RESP-30639,Legal,Manager,11.5,3.8,2.43,4.14,5,3.49,3.05,1.49,2.97,7,2023-12-10,Low
RESP-30640,Product,Team Lead,19.3,2.36,3.57,3.89,3.44,4.53,2.76,3.34,5,5,2024-02-03,Medium
RESP-30641,Finance,Manager,5.3,3.8,4.1,2.35,4.83,3.77,3.97,3.46,4.08,7,2024-02-03,Low
RESP-30642,HR,Manager,3.6,3.72,3.76,4.39,2.87,2.53,3.93,2.36,3.4,2,2025-03-20,Low
RESP-30643,HR,Team Lead,15.3,3.58,3.19,3.29,4.54,4.51,3.65,3.06,3.35,4,2025-07-21,Low
RESP-30644,Design,Director,4.8,3.7,3.49,3.15,2.15,2.31,2.85,3.09,4.53,7,2023-08-22,Low
RESP-30645,Design,Team Lead,19.0,4.14,2.94,4.07,3.59,3.88,3.63,1.35,3.56,8,2023-12-09,Low
RESP-30646,Engineering,Director,6.8,4.67,3.45,4.0,3.79,2.96,3.55,5,3.07,3,2024-08-24,Low
RESP-30647,Design,Director,16.9,5,4.06,2.95,2.99,2.64,2.41,5,3.08,3,2023-12-02,Low
RESP-30648,Sales,Senior IC,7.3,3.22,2.04,4.01,1.47,3.87,4.34,2.13,2.57,5,2023-02-24,Low
RESP-30649,Operations,Senior IC,1.9,3.45,3.3,4.36,2.41,3.8,2.02,3.4,2.82,5,2023-12-02,Low
RESP-30650,HR,Manager,7.0,4.2,3.72,3.16,2.51,4.28,5,4.16,3.34,1,2024-12-25,Low
RESP-30651,Legal,Director,2.9,2.82,1.93,3.57,3.34,3.58,3.35,4.0,3.18,7,2025-10-19,Medium
RESP-30652,Customer Support,Manager,13.0,3.7,3.27,4.32,4.92,2.73,3.01,1.39,3.89,7,2025-02-24,Low
RESP-30653,Design,Director,11.2,2.8,2.3,4.18,1.53,3.13,3.34,3.72,3.35,2,2024-03-25,Medium
RESP-30654,Sales,Manager,16.8,3.37,3.58,4.97,2.77,4.28,3.27,4.36,4.46,8,2025-11-04,Low
RESP-30655,Product,Director,19.6,4.34,2.27,4.23,4.24,3.1,3.7,4.06,3.23,6,2025-09-23,Low
RESP-30656,Customer Support,VP,9.5,3.58,5,2.39,2.96,1.57,3.01,1,2.7,8,2025-06-02,Low
RESP-30657,Legal,Team Lead,3.5,2.84,3.48,4.58,2.38,2.54,3.56,1.51,3.48,8,2023-02-25,Medium
RESP-30658,Legal,Manager,3.6,2.59,4.1,3.07,2.44,3.69,1.31,4.23,4.71,10,2023-07-30,Medium
RESP-30659,Design,Team Lead,16.8,4.71,5,4.19,3.44,3.81,3.34,3.13,2.53,7,2024-04-28,Low
RESP-30660,Finance,Senior IC,5.1,4.34,3.98,4.36,2.99,3.23,3.55,3.95,3.24,2,2024-06-13,Low
RESP-30661,Legal,VP,9.7,3.48,2.13,3.85,3.51,3.9,4.29,1.82,5,4,2024-05-10,Low
RESP-30662,Customer Support,Director,7.0,3.24,2.39,4.76,4.66,2.78,3.19,2.66,4.37,5,2023-04-08,Low
RESP-30663,Finance,Senior IC,18.3,3.35,3.23,3.4,1.15,3.95,2.54,4.58,3.7,5,2025-03-04,Low
RESP-30664,Design,Director,17.0,3.66,1.85,1.98,3.66,4.01,4.55,1.66,2.35,7,2024-09-26,Low
RESP-30665,Design,Team Lead,13.7,4.05,2.88,3.34,2.25,4.2,4.03,4.07,3.57,1,2024-11-24,Low
RESP-30666,HR,Team Lead,17.8,3.88,3.46,2.47,3.65,2.14,4.42,1.55,4.11,9,2024-12-08,Low
RESP-30667,Design,Manager,19.6,3.61,3.46,4.11,1.83,3.01,3.36,4.26,3.0,1,2025-01-19,Low
RESP-30668,Design,Team Lead,4.2,4.68,4.09,4.63,2.44,3.52,4.63,3.54,3.84,10,2025-01-06,Low
RESP-30669,Marketing,Senior IC,8.1,3.23,4.29,3.44,4.12,3.72,4.34,3.07,2.46,2,2023-08-10,Low
RESP-30670,Design,Director,11.5,4.03,1.89,2.22,3.99,2.88,3.0,4.04,3.2,8,2024-03-11,Low
RESP-30671,Product,Director,14.5,2.6,3.77,3.55,4.66,3.21,2.51,4.66,2.75,3,2025-10-30,Medium
RESP-30672,Product,Director,2.3,3.37,5,3.83,3.75,3.76,3.98,2.79,3.93,4,2024-10-13,Low
RESP-30673,Operations,VP,4.9,3.38,2.96,3.45,3.37,1.85,3.63,5,3.62,6,2025-11-18,Low
RESP-30674,Legal,Team Lead,14.2,2.25,5,3.57,3.03,3.78,2.16,3.4,2.74,1,2024-06-05,Medium
RESP-30675,Sales,Team Lead,13.1,3.75,2.97,4.57,4.43,3.37,4.67,4.29,3.49,3,2024-01-15,Low
RESP-30676,Finance,Manager,14.5,4.22,4.36,2.77,4.28,3.64,4.66,3.11,3.0,4,2024-11-24,Low
RESP-30677,Operations,Team Lead,1.7,4.11,2.29,4.31,1.87,3.19,2.77,2.16,2.29,9,2025-06-29,Low
RESP-30678,Marketing,Individual Contributor,14.5,2.53,2.25,2.59,2.84,2.83,3.02,2.64,4.15,7,2023-09-10,Medium
RESP-30679,Engineering,Senior IC,9.0,3.72,4.33,4.71,4.02,4.81,3.4,2.85,2.98,3,2025-09-28,Low
RESP-30680,Operations,Senior IC,6.2,2.35,3.28,4.4,2.54,3.37,2.98,2.72,3.99,2,2023-01-09,Medium
RESP-30681,Customer Support,VP,6.7,3.8,3.29,2.65,3.23,3.31,2.96,1.8,3.49,2,2023-08-24,Low
RESP-30682,Engineering,Team Lead,0.9,3.56,3.24,4.78,2.62,4.07,2.06,4.87,3.07,10,2024-09-03,Low
RESP-30683,Legal,Individual Contributor,7.9,3.27,5,3.05,3.52,3.39,3.49,3.54,4.07,2,2023-11-20,Low
RESP-30684,Marketing,VP,2.9,2.33,3.78,4.69,4.2,2.1,3.47,3.63,2.1,3,2024-03-09,Medium
RESP-30685,Legal,Individual Contributor,11.2,4.62,2.83,2.3,2.53,2.41,3.96,5,2.51,3,2024-08-09,Low
RESP-30686,Engineering,Team Lead,19.1,2.88,3.99,3.85,2.71,3.14,5,3.86,3.18,5,2024-09-10,Medium
RESP-30687,Product,Team Lead,11.9,5,2.95,3.11,3.66,5,5,2.82,3.79,8,2025-01-30,Low
RESP-30688,Customer Support,Director,16.7,3.08,3.5,3.64,4.45,3.86,5,2.7,3.56,2,2023-04-12,Medium
RESP-30689,Engineering,VP,4.4,4.09,2.62,3.75,3.88,3.33,2.91,3.59,3.12,8,2023-09-20,Low
RESP-30690,Marketing,Individual Contributor,5.4,5,3.31,3.31,3.09,3.06,4.46,3.75,4.34,4,2024-07-30,Low
RESP-30691,Finance,Individual Contributor,11.9,3.17,3.84,2.46,3.52,2.77,3.97,3.88,3.73,1,2023-11-04,Medium
RESP-30692,Customer Support,Individual Contributor,0.6,3.14,3.33,3.85,3.37,2.95,2.53,3.76,3.57,1,2025-10-15,Medium
RESP-30693,Sales,Manager,1.5,3.52,1.7,3.91,3.01,3.34,4.45,1,3.22,6,2024-07-22,Low
RESP-30694,Design,Director,16.3,3.14,4.43,3.66,3.34,3.61,3.48,3.09,4.03,2,2023-08-24,Medium
RESP-30695,Marketing,VP,19.0,3.9,2.92,4.16,2.73,2.67,3.56,2.83,3.99,8,2024-12-28,Low
RESP-30696,Engineering,Manager,17.7,3.52,3.54,2.89,2.37,2.54,2.87,2.56,2.92,8,2023-03-29,Low
RESP-30697,Legal,Team Lead,12.3,3.43,3.71,3.02,3.75,3.41,1.96,2.53,3.84,2,2024-03-03,Low
RESP-30698,Product,Senior IC,1.1,2.88,3.43,3.03,3.86,3.02,2.95,3.22,3.14,10,2023-08-16,Medium
RESP-30699,Engineering,Team Lead,8.4,3.72,1,4.17,2.58,2.51,2.23,2.84,2.54,6,2024-04-27,Low
RESP-30700,Legal,Individual Contributor,5.7,4.04,2.61,3.57,2.9,3.49,2.93,3.71,4.07,1,2025-01-13,Low
RESP-30701,Customer Support,VP,12.0,4.2,4.05,2.9,3.95,3.36,4.0,4.83,4.0,2,2025-06-20,Low
RESP-30702,Sales,Individual Contributor,15.8,4.38,2.55,3.55,3.0,3.45,4.21,1.66,2.83,5,2025-08-28,Low
RESP-30703,Legal,Team Lead,11.4,2.71,2.07,1.95,3.4,2.95,3.48,3.31,2.85,5,2025-05-03,Medium
RESP-30704,Design,VP,15.7,2.58,3.52,2.68,2.62,3.12,3.68,3.61,3.11,8,2025-11-23,Medium
RESP-30705,HR,VP,8.1,3.34,2.55,2.79,4.86,2.22,3.61,1.93,4.25,8,2024-08-09,Low
RESP-30706,Marketing,Director,16.2,3.85,3.65,3.38,1.91,3.06,2.53,3.9,3.59,2,2023-08-09,Low
RESP-30707,Marketing,Team Lead,4.8,2.75,4.45,3.92,2.92,2.64,4.28,2.64,3.46,6,2025-03-04,Medium
RESP-30708,Legal,Team Lead,12.6,2.95,2.93,3.35,2.84,2.95,3.09,2.77,2.07,6,2023-08-16,Medium
RESP-30709,Sales,Director,10.8,4.52,4.22,4.5,2.3,2.72,4.71,2.9,4.58,8,2025-10-06,Low
RESP-30710,Marketing,Senior IC,17.9,3.45,3.19,3.75,4.09,3.74,3.17,3.34,4.58,4,2023-04-30,Low
RESP-30711,Sales,Senior IC,18.8,4.4,5,4.53,2.49,2.51,3.12,1.49,3.82,10,2024-03-26,Low
RESP-30712,Product,Manager,14.0,2.77,2.98,4.28,2.91,3.53,2.93,2.68,3.77,7,2025-02-04,Medium
RESP-30713,Sales,Team Lead,3.4,2.44,1.62,2.52,2.31,3.57,3.74,2.65,4.02,8,2025-11-04,High
RESP-30714,HR,Team Lead,4.5,3.22,3.9,3.92,3.53,3.74,2.67,3.95,2.75,5,2025-01-20,Low
RESP-30715,Product,Manager,6.5,4.09,2.46,4.67,2.67,3.69,2.39,2.06,4.28,8,2025-11-20,Low
RESP-30716,Operations,Individual Contributor,4.8,3.16,4.19,3.85,3.15,2.74,3.84,2.83,2.45,7,2023-07-20,Medium
RESP-30717,Marketing,VP,20.0,4.24,2.96,2.89,2.62,3.15,3.84,3.59,3.7,9,2024-01-16,Low
RESP-30718,Operations,Individual Contributor,13.6,5,3.01,3.86,3.82,1.16,2.98,2.02,4.48,1,2025-11-10,Low
RESP-30719,Finance,VP,3.3,3.23,3.29,3.98,3.35,4.09,4.9,3.26,3.28,3,2023-11-03,Low
RESP-30720,Finance,Individual Contributor,15.8,3.38,3.73,2.71,3.25,2.91,4.15,2.16,4.64,10,2025-08-25,Low
RESP-30721,Legal,VP,9.3,2.15,3.86,4.33,2.86,4.91,4.12,3.71,2.72,7,2023-10-23,Medium
RESP-30722,Marketing,Team Lead,6.0,2.31,1.97,3.93,4.62,3.37,4.71,4.69,3.69,8,2025-08-16,High
RESP-30723,Legal,Senior IC,11.9,2.99,1.77,3.68,3.15,2.42,3.09,3.83,3.41,7,2025-02-08,Medium
RESP-30724,Operations,Manager,4.3,2.92,3.21,3.64,3.84,4.09,3.49,2.84,4.22,1,2023-05-04,Medium
RESP-30725,Sales,Team Lead,19.4,3.32,3.56,3.12,2.47,2.3,2.42,3.81,3.69,7,2023-09-25,Low
RESP-30726,Legal,Manager,2.2,4.82,4.2,2.83,1.19,3.33,2.56,2.4,3.55,7,2024-02-27,Low
RESP-30727,HR,VP,19.8,1.92,3.52,4.55,3.1,2.35,2.47,3.41,2.9,2,2025-01-13,Medium
RESP-30728,Design,VP,18.9,3.39,3.3,2.85,2.52,3.76,4.58,3.02,3.77,10,2025-01-27,Low
RESP-30729,Finance,Team Lead,18.9,4.17,4.87,3.51,3.35,3.29,2.62,1.4,3.23,6,2024-03-19,Low
RESP-30730,HR,Director,2.3,3.94,4.19,3.01,2.94,3.0,3.72,3.15,3.19,8,2025-05-23,Low
RESP-30731,Legal,Senior IC,9.6,3.39,3.79,4.02,2.87,2.75,4.03,4.01,3.56,1,2025-06-25,Low
RESP-30732,Customer Support,Individual Contributor,19.3,3.29,3.75,4.79,4.59,3.01,3.04,3.18,4.43,2,2024-01-28,Low
RESP-30733,Customer Support,Team Lead,3.7,4.23,4.72,3.41,1.72,4.25,3.12,2.82,3.0,7,2025-08-31,Low
RESP-30734,Product,Manager,11.5,2.59,3.86,4.25,3.33,2.88,4.23,2.58,4.11,8,2025-04-29,Medium
RESP-30735,Sales,Manager,16.4,2.59,3.23,4.54,3.38,2.1,3.35,3.56,2.95,8,2023-04-28,Medium
RESP-30736,Marketing,VP,6.9,2.11,2.61,3.51,3.29,3.1,4.77,1,2.89,3,2023-07-24,Medium
RESP-30737,Customer Support,Individual Contributor,6.5,3.0,3.43,4.74,3.63,2.29,4.23,1.93,4.59,2,2024-02-13,Medium
RESP-30738,Engineering,Manager,14.7,4.62,2.91,4.03,2.73,2.81,2.54,3.52,4.34,4,2025-09-02,Low
RESP-30739,Marketing,Team Lead,9.0,5,4.08,3.27,4.16,3.71,2.56,4.1,4.0,2,2024-05-03,Low
RESP-30740,Customer Support,Senior IC,7.2,3.56,3.75,2.78,3.52,3.81,4.18,5,3.48,5,2023-03-02,Low
RESP-30741,Legal,Individual Contributor,6.0,2.24,3.66,4.25,1.28,1.81,3.76,2.85,4.92,8,2023-10-24,Medium
RESP-30742,Legal,Manager,6.8,1.93,3.93,3.37,3.57,2.99,2.94,3.39,3.38,5,2025-11-22,Medium
RESP-30743,Customer Support,VP,2.6,2.78,4.62,2.31,4.12,3.98,3.95,2.56,4.05,1,2023-03-25,Medium
RESP-30744,Engineering,Senior IC,11.5,3.39,3.34,4.54,2.27,2.55,2.63,3.65,2.95,10,2025-10-20,Low
RESP-30745,Sales,Senior IC,18.0,3.4,2.61,4.22,3.47,2.97,3.32,2.79,3.8,4,2024-11-14,Low
RESP-30746,Engineering,Director,16.6,3.96,1.36,3.58,4.21,3.33,3.8,3.63,3.54,9,2023-10-31,Low
RESP-30747,Legal,Senior IC,0.9,4.36,3.9,3.49,2.7,1.1,3.57,3.95,3.27,7,2023-07-26,Low
RESP-30748,Operations,Director,1.3,2.88,3.61,4.76,3.88,4.16,2.56,3.92,3.55,4,2024-09-30,Medium
RESP-30749,Finance,Manager,3.7,4.27,4.13,3.54,4.07,4.41,4.01,2.4,4.4,6,2023-10-31,Low
RESP-30750,Operations,Director,4.2,1.89,5,3.56,2.37,4.21,5,3.14,4.09,10,2025-06-04,Medium
RESP-30751,Design,Individual Contributor,7.0,4.3,3.07,3.7,3.58,3.03,3.51,3.77,3.49,8,2025-06-03,Low
RESP-30752,Sales,Senior IC,9.7,4.17,3.51,3.36,2.16,1.89,3.62,5,3.51,3,2023-09-27,Low
RESP-30753,Design,Team Lead,4.1,3.47,3.95,4.03,1.9,2.78,3.83,3.42,3.35,8,2025-06-13,Low
RESP-30754,Customer Support,Team Lead,19.9,3.34,3.83,3.45,4.83,2.41,3.29,1.89,3.42,7,2025-04-16,Low
RESP-30755,Marketing,Manager,6.0,3.37,4.16,3.52,2.99,2.86,3.78,1,3.49,5,2025-10-09,Low
RESP-30756,Design,VP,8.4,1.84,3.91,2.58,3.71,3.9,4.6,1.55,3.62,7,2024-07-26,Medium
RESP-30757,Sales,Director,16.0,3.15,1.96,3.95,4.35,2.84,2.14,4.05,3.0,4,2024-05-20,Medium
RESP-30758,Sales,Individual Contributor,13.3,3.57,2.5,3.56,2.99,2.74,2.89,4.04,3.37,3,2024-01-17,Low
RESP-30759,HR,VP,10.8,3.98,1.88,4.2,3.2,2.25,3.6,3.27,4.21,8,2023-06-06,Low
RESP-30760,Product,VP,8.3,3.89,3.16,4.32,3.31,3.82,2.27,2.35,3.17,8,2023-09-30,Low
RESP-30761,HR,Team Lead,14.2,2.89,3.38,3.49,3.24,3.01,2.27,2.53,5,5,2024-08-31,Medium
