Id,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,GrLivArea,LotArea,BedroomAbvGr,FullBath,GarageCars,TotalBsmtSF,1stFlrSF,MasVnrArea,GarageArea,SalePrice
331,NAmes,7,5,1984,1984,1762,14749,2,2,2,1116,695,1216,454,288000
332,Gilbert,9,7,1977,1977,1654,4830,4,2,2,1724,630,1300,636,277500
333,OldTown,4,6,1984,1984,2019,5155,2,1,2,671,1617,317,357,226100
334,NAmes,6,5,1982,1982,334,13402,3,1,2,910,1163,0,412,135700
335,Crawfor,6,6,2007,2007,1765,6887,1,2,2,1173,1391,0,557,216100
336,Timber,6,2,1981,1981,1312,7683,4,2,2,1756,1035,269,695,291800
337,CollgCr,7,6,1882,1984,1473,6086,5,1,2,1433,1158,1407,397,218600
338,CollgCr,10,6,1970,1999,1340,6679,6,2,2,484,1376,700,424,295300
339,NWAmes,7,5,1988,1988,1338,6382,3,3,2,858,1191,0,452,267600
340,NridgHt,8,7,1991,1991,1489,19492,6,2,2,812,730,1122,698,351600
341,NWAmes,7,5,1932,1976,1977,9344,4,1,2,540,926,1191,383,251000
342,NAmes,8,6,1878,1998,2017,10560,6,2,2,1028,394,1513,470,309500
343,NWAmes,4,5,1925,2008,789,4168,6,3,1,1717,1360,1265,305,118200
344,Crawfor,7,4,1975,1978,1679,5891,1,2,2,1114,866,0,374,244600
345,NridgHt,4,5,1959,1992,1046,5925,3,3,2,1148,1200,0,564,244700
346,Somerst,9,4,2001,2001,1526,10952,1,2,1,569,815,1437,335,315100
347,Sawyer,7,6,1966,1997,1527,6037,5,1,2,1476,1142,462,206,218800
348,Crawfor,6,6,1973,1973,1854,11305,6,2,1,1209,1831,1571,294,236000
349,Somerst,7,6,1968,1969,758,3824,3,2,2,1193,983,567,729,239800
350,Gilbert,4,5,1880,1968,1758,5263,5,2,2,1439,1238,0,526,212400
351,Sawyer,3,4,1968,1979,1570,4093,6,3,0,787,1549,0,0,196400
352,Gilbert,6,6,1906,1966,2022,8622,3,2,2,423,1513,222,470,222700
353,Edwards,5,3,1999,2001,1239,5153,4,1,1,1159,938,1539,143,140800
354,Crawfor,6,6,1996,1996,1809,7920,2,1,2,955,1665,1008,669,210900
355,Edwards,5,7,1946,1987,922,4214,1,1,2,879,1517,435,431,154800
356,CollgCr,7,5,1907,1999,1056,3969,3,2,2,1735,1315,0,594,212000
357,Crawfor,7,7,1979,1979,1602,6099,1,2,2,1538,334,1224,625,228900
358,NWAmes,7,6,1933,1982,1017,19250,1,1,1,1159,1483,500,222,183400
359,NoRidge,6,7,2007,2007,1726,4174,1,1,3,614,1339,0,613,306000
360,NWAmes,7,6,1986,2006,334,7728,6,2,2,2716,1667,0,551,158000
361,CollgCr,5,5,1975,2007,1479,10787,3,3,3,1267,1555,140,1033,218800
362,Crawfor,8,6,1993,1993,1498,9460,5,2,2,1040,1373,1107,542,267300
363,SawyerW,6,5,1956,1971,1261,5795,5,1,3,782,646,263,536,181400
364,Crawfor,5,5,1956,2008,1927,5222,4,3,3,953,334,0,616,232200
365,NAmes,6,6,1900,1987,1627,8852,1,2,2,650,1500,1022,595,186600
366,NoRidge,5,5,1901,1967,1267,15138,5,1,2,530,1529,1425,519,252100
367,Somerst,5,5,1945,1971,1159,7093,5,2,1,964,931,872,182,211900
368,NWAmes,6,7,1943,1968,1534,10310,4,2,1,1493,889,105,309,201400
369,NoRidge,5,6,1913,1959,1498,8581,5,1,2,1022,859,1049,449,230700
370,NAmes,8,3,1895,1984,1414,19171,5,2,2,0,1002,1240,528,200600
371,Gilbert,5,6,1986,1986,1888,5105,2,1,2,1761,960,1252,321,252300
372,BrkSide,7,5,1880,1988,968,14955,6,2,2,431,1329,0,513,136300
373,Somerst,5,7,1929,1955,1408,5112,6,2,2,653,999,387,388,209000
374,Edwards,7,7,1999,1999,2421,7459,5,2,2,1480,689,0,444,310300
375,NWAmes,7,7,1884,1988,1399,15029,1,1,2,1323,1496,1064,443,178400
376,Timber,3,6,1955,1962,1176,13694,6,1,2,1638,1215,1255,383,168000
377,CollgCr,7,7,1894,1968,1421,4630,5,2,2,1398,1626,724,539,259000
378,NAmes,7,3,1967,1980,1245,8919,1,2,2,1452,1299,0,402,192800
379,Gilbert,7,4,1910,2001,1344,15158,6,1,2,726,1054,754,509,187600
380,NWAmes,6,7,1894,1984,1785,11689,6,3,2,798,809,46,510,263100
381,BrkSide,6,4,1975,1985,1623,4911,3,1,0,1182,1883,1359,0,200700
382,BrkSide,3,5,1882,1985,445,7757,5,2,2,880,1267,232,404,73000
383,Timber,6,7,1951,1973,2179,11118,2,3,2,1134,1084,0,385,364600
384,Mitchel,6,8,1877,1966,1340,7798,3,1,1,1613,770,0,227,185400
385,BrkSide,6,6,1951,2007,1127,4913,6,1,0,1396,584,250,0,148500
386,BrkSide,5,6,1929,1958,1731,9415,1,2,2,1645,984,139,407,188100
387,Edwards,8,3,2009,2009,2256,23726,6,1,2,985,1782,1109,613,316200
388,Crawfor,6,6,2004,2004,1917,9170,5,2,1,988,1573,1339,221,256800
389,NoRidge,5,6,1977,1997,1401,3751,3,2,2,1469,406,0,394,288600
390,Crawfor,4,7,1892,1990,1656,4683,1,2,2,1,812,942,555,191000
391,Mitchel,5,6,2005,2005,1456,14332,4,2,2,1575,947,1103,393,207900
392,Timber,6,7,1938,1966,796,11118,2,2,2,933,1096,870,363,209500
393,BrkSide,8,4,2008,2008,1105,10710,5,3,1,860,1350,0,269,190800
394,NWAmes,6,6,1953,1982,707,11472,4,2,2,662,599,0,571,155400
395,Sawyer,6,5,1985,1985,2700,20324,1,1,2,1162,1471,264,420,264200
396,SawyerW,7,4,1921,1968,1096,12147,2,1,1,1391,1022,0,238,185800
397,Edwards,7,5,1873,1959,1619,7750,2,2,2,1153,1245,0,340,216200
398,SawyerW,6,6,1922,1960,1879,8013,3,1,0,431,1307,813,0,231200
399,BrkSide,7,6,2006,2006,1496,10946,6,2,2,1649,1051,0,335,198300
400,Timber,7,4,1994,1994,1712,3191,3,1,2,262,1245,0,462,349100
401,NWAmes,7,7,1968,1968,1222,24955,4,2,2,1273,1093,0,261,200500
402,Somerst,6,6,1892,1954,1758,7662,6,1,1,710,1337,1130,290,228500
403,NWAmes,5,7,1967,1980,1017,5237,3,2,2,731,1299,0,443,181100
404,NridgHt,6,7,1957,1967,1279,8764,2,1,0,239,1451,0,0,229700
405,CollgCr,7,5,1941,1963,1908,6647,1,2,2,412,1770,0,457,234400
406,Gilbert,8,7,1938,1958,1212,24146,3,2,2,1697,957,1552,354,245800
407,NoRidge,7,5,1888,1980,1842,9104,5,2,2,1050,1349,886,756,298800
408,CollgCr,6,6,1969,1975,1016,10422,5,2,2,1009,1041,255,303,191300
409,Timber,7,7,1906,1991,2343,12909,4,2,2,1064,1228,0,463,357900
410,NridgHt,5,6,1875,1957,2253,6654,4,1,2,1424,1051,0,456,344500
411,Sawyer,8,6,1938,1955,1433,8564,5,1,2,1066,1178,1122,424,230500
412,Somerst,8,5,1884,1952,2063,10277,4,2,0,1146,726,1124,0,276300
413,Sawyer,8,6,1895,1992,1592,11779,1,2,2,1139,873,382,455,264500
414,NoRidge,5,6,1981,1981,951,5019,4,3,1,1003,1874,0,265,208500
415,NoRidge,5,6,1982,2000,2176,6121,2,1,0,856,2127,1354,0,318400
416,Mitchel,8,4,1924,1967,793,2150,2,2,2,1359,1382,935,630,164400
417,NridgHt,7,5,1934,2003,1390,6572,4,1,2,765,866,737,419,273400
418,NWAmes,5,5,1883,1957,1107,9791,4,2,0,1551,1502,187,0,128800
419,OldTown,5,6,1942,1964,2118,14811,2,1,2,1480,1940,0,513,208400
420,Sawyer,7,8,1985,1998,1484,12426,4,1,2,1488,942,355,529,227000
421,NAmes,5,4,1991,1991,1399,5971,1,2,2,627,1106,0,531,183600
422,NWAmes,7,5,2007,2007,1584,7249,5,1,2,1568,1165,345,495,270500
423,Sawyer,8,7,1936,1953,2318,13704,1,3,2,1428,1368,0,324,312700
424,NoRidge,6,7,1913,1967,2035,7479,2,1,2,394,1110,0,404,359600
425,NridgHt,9,6,1931,2006,2365,7907,5,1,2,838,1256,1451,512,459200
426,NoRidge,7,6,1998,1998,1188,17187,5,1,2,1914,1283,0,353,250900
427,OldTown,6,6,1944,2005,2050,13219,4,2,2,961,467,0,646,235200
428,Timber,7,6,1920,1967,1237,5489,3,2,2,1738,859,0,649,238100
429,Mitchel,8,6,1873,2000,584,6709,4,1,2,1528,624,1210,335,151000
430,NAmes,5,7,2004,2004,1174,20907,6,1,1,730,1298,692,195,195200
431,NWAmes,6,4,1975,1990,1311,10698,4,1,2,1281,896,655,419,213900
432,Crawfor,5,7,1894,1984,774,16755,3,1,1,1018,855,0,155,125100
433,Sawyer,4,4,1986,1986,2516,5055,1,1,2,339,895,0,389,237400
434,Somerst,6,7,1893,1976,898,11370,5,2,2,865,1005,1283,564,162900
435,OldTown,7,5,1913,1987,1471,12353,6,2,1,1471,1236,1046,304,188100
436,BrkSide,6,5,1956,1995,927,16510,6,2,2,981,1165,1245,463,143800
437,Somerst,7,4,1906,1987,1914,16932,1,2,2,600,1389,267,376,319900
438,Mitchel,6,7,1960,1960,1447,7315,3,2,2,1545,1512,0,439,192800
439,NAmes,5,6,2001,2001,1560,10485,3,1,2,1011,385,0,447,202500
440,BrkSide,7,6,1927,1979,1816,8010,1,2,2,1666,1530,521,480,223800
441,Timber,5,5,1939,1998,1077,12445,6,2,2,594,866,494,403,239800
442,CollgCr,6,7,1914,1966,2026,4262,3,2,2,1801,1002,957,471,232600
443,NAmes,5,5,1884,1968,1438,3386,5,2,2,1272,1817,214,527,205500
444,Gilbert,5,5,1910,1988,334,10328,4,1,3,1385,981,211,987,122000
445,OldTown,5,7,2002,2002,1028,8910,3,2,1,1328,1266,124,236,155300
446,Sawyer,8,6,1881,1994,2558,10263,2,1,2,988,958,0,599,278400
447,Mitchel,6,8,1879,1976,1865,7626,1,1,3,507,1249,1094,851,233900
448,Crawfor,5,6,1962,2007,1200,15399,6,1,3,571,1751,135,766,194100
449,SawyerW,5,8,1976,1976,1578,11577,3,2,2,1491,985,593,507,187100
450,Somerst,7,6,1897,1971,1809,7072,1,2,1,1017,1007,318,224,297000
451,Crawfor,6,6,1916,1967,1782,8328,1,2,2,1386,1734,78,606,265400
452,NoRidge,7,6,1896,1969,2542,3591,1,2,2,1181,905,1307,415,424700
453,BrkSide,7,6,2004,2004,1720,28078,2,2,2,1062,1545,0,580,214800
454,NoRidge,7,7,1884,2008,2060,7847,2,2,1,1117,1123,82,200,368100
455,NoRidge,4,6,1891,1982,1905,12151,3,1,1,1554,1099,0,250,257100
456,Edwards,6,5,1887,1992,1152,10242,3,2,2,686,1542,1036,612,165500
457,Gilbert,4,5,1977,1984,1920,8828,3,2,0,967,1026,0,0,182900
458,Sawyer,9,6,2004,2004,1437,9879,4,2,0,1389,1468,0,0,249400
459,Timber,6,5,2009,2009,1244,2979,2,1,1,0,1227,1509,224,282800
460,Edwards,8,6,1911,1982,1806,12453,2,2,0,1190,636,0,0,200300
461,Gilbert,7,6,1936,1986,2104,6954,1,2,2,719,1299,0,493,308800
462,OldTown,5,6,1899,1975,1760,12826,1,2,2,1304,1180,0,613,180200
463,Timber,8,7,1915,1974,2478,12223,2,1,2,346,576,1382,557,360100
464,Edwards,6,6,1897,1991,1907,8541,2,1,2,1427,894,1146,587,236300
465,NAmes,8,5,1890,1984,2322,16350,1,2,1,376,1391,0,281,286700
466,Crawfor,5,5,1929,1981,1380,23072,6,1,2,680,1153,236,353,211800
467,NridgHt,7,6,1941,1995,543,5928,2,1,2,1092,534,150,582,219200
468,Crawfor,6,7,1959,1966,956,6850,1,1,2,647,1908,0,295,170300
469,Mitchel,6,6,1890,1952,1654,3588,3,1,2,1028,1412,394,405,197800
470,SawyerW,5,5,1923,2005,929,8595,3,1,0,574,517,1136,0,114600
471,Timber,4,6,2000,2000,1555,10458,2,1,2,860,879,400,263,265800
472,BrkSide,4,7,1944,1973,1690,5821,6,3,2,1384,1565,0,568,168500
473,NoRidge,8,6,1919,1960,1053,7975,1,1,2,1173,1469,447,475,294500
474,OldTown,5,5,1980,1980,1801,24758,6,2,2,1669,1503,1537,462,228900
475,BrkSide,5,4,1965,1965,1726,10541,1,1,0,914,334,0,0,160700
476,Mitchel,6,8,1948,1954,885,8496,3,2,3,1424,1594,1299,304,170300
477,NAmes,7,6,1935,1981,1552,10839,6,2,1,1300,1431,59,228,260100
478,Edwards,8,4,1967,1994,2519,10658,6,1,2,1955,1957,523,548,281600
479,NridgHt,8,5,1941,1968,1500,3165,3,2,3,2307,1044,308,984,390300
480,Mitchel,4,8,1961,2001,798,8225,1,1,2,1280,1199,1440,565,137200
481,Sawyer,4,7,1890,1967,778,7187,5,1,2,771,1841,0,687,100500
482,NoRidge,5,5,1982,1982,2015,16884,4,2,2,787,1396,1289,449,301600
483,BrkSide,7,5,1952,1999,1264,7677,6,1,2,1448,459,0,368,186800
484,BrkSide,7,7,1953,1960,1828,20838,5,1,2,842,1451,119,539,242000
485,Crawfor,8,7,1993,1995,1197,13851,4,2,1,1159,812,382,337,194300
486,NAmes,4,6,1911,1997,1267,17894,5,1,2,555,1110,1013,503,135500
487,Crawfor,5,3,1956,1986,1802,6157,4,2,1,959,1376,47,159,203300
488,Edwards,7,6,1955,2009,1803,9706,6,2,2,975,1079,1513,413,222400
489,Gilbert,5,6,1901,1963,1809,23542,1,2,2,948,1136,0,517,201800
490,BrkSide,8,5,1914,1976,1533,4186,2,2,2,1602,1483,0,534,190800
491,NWAmes,4,5,1946,1963,2272,12048,5,2,2,1255,986,0,458,218100
492,SawyerW,9,4,1966,1981,1794,15801,3,2,2,1404,1580,1394,418,273800
493,Timber,6,6,1967,1976,1065,8413,1,2,3,1228,1571,0,571,244200
494,SawyerW,4,4,1996,1996,1365,10328,2,3,2,468,1522,0,437,215700
495,Gilbert,9,6,1927,2003,1569,17631,1,3,2,1331,1481,1423,480,268200
496,Timber,4,4,1985,2003,858,20917,3,2,1,671,1873,255,257,196700
497,NridgHt,7,5,1913,1965,1284,4071,3,3,0,774,1886,0,0,286600
498,NoRidge,5,5,1923,1959,2228,15961,2,1,1,786,905,103,275,337600
499,Edwards,4,4,1929,1992,977,5040,5,1,2,1825,334,895,361,140900
500,OldTown,5,4,1936,2006,1279,12469,1,1,2,1150,1007,446,381,139900
501,NridgHt,8,7,1943,2008,1312,3979,6,1,1,1188,1862,288,213,309300
502,NridgHt,7,5,1968,1968,1658,4194,4,2,3,1672,1131,410,825,339000
503,NoRidge,4,4,1888,2007,1812,28372,4,1,2,813,1471,0,669,297000
504,Crawfor,7,6,1978,1992,1353,13984,5,2,2,1673,1261,0,364,255800
505,NoRidge,6,5,1948,1965,1984,3009,4,1,2,845,956,1393,589,340700
506,SawyerW,7,7,1990,1990,998,5243,3,3,2,994,1623,0,371,206400
507,Sawyer,4,5,2000,2000,1045,5724,3,2,3,835,1391,640,912,161400
508,CollgCr,3,5,1897,1975,2503,7230,5,1,2,769,1462,1260,474,244100
509,Edwards,4,4,2007,2007,1669,5710,5,2,0,996,2020,0,0,186000
510,Somerst,8,7,1900,1959,1714,4360,3,1,2,1486,894,0,632,290100
511,SawyerW,6,5,1946,1999,909,6542,5,1,2,1983,1249,0,403,184400
512,Crawfor,10,5,1909,1987,1750,8094,6,1,1,212,831,1542,197,262000
513,OldTown,5,4,1997,1997,852,5520,3,1,2,1642,1233,0,515,124900
514,Timber,5,4,1973,1973,1381,14059,2,2,2,1111,810,0,407,276300
515,NWAmes,4,6,1956,1988,1038,5109,3,2,2,969,962,0,450,146300
516,BrkSide,8,8,1872,2004,1353,11509,4,1,2,1022,1330,0,444,195900
517,Crawfor,7,6,1875,1976,1280,10673,5,2,1,1632,1593,0,318,169700
518,Edwards,7,4,1950,1965,1879,6872,2,1,1,1373,1266,0,136,240900
519,Mitchel,7,7,1938,1953,1328,6523,5,2,1,788,1016,0,178,178800
520,Gilbert,8,5,1987,1987,1358,14533,5,1,3,1393,1278,1155,797,221100
521,NAmes,5,5,1937,1961,1498,5894,2,1,2,1006,1180,504,553,172900
522,Crawfor,8,6,1994,2008,2275,15069,5,2,2,774,764,1567,493,315000
523,NAmes,7,5,1964,1992,2470,8939,2,2,0,517,1415,437,0,265500
524,BrkSide,5,7,2005,2005,1067,16672,2,2,2,649,1174,0,461,173000
525,Somerst,6,6,1902,1982,1169,4099,1,2,2,1195,905,348,298,217100
526,BrkSide,5,4,1909,1979,1598,8245,3,2,2,809,1303,574,733,152200
527,Sawyer,7,6,1980,1980,1761,6245,3,2,2,1252,389,0,525,263500
528,CollgCr,8,3,1972,1972,2436,20031,6,2,2,1511,493,1572,403,334900
529,Timber,7,5,1913,1962,1304,9786,5,2,1,918,1387,0,350,281000
530,NridgHt,8,7,1955,1983,1760,6828,2,1,1,950,480,461,340,341300
531,BrkSide,6,7,1924,2005,1622,5076,2,2,2,416,2148,452,622,169200
532,BrkSide,5,5,1899,1959,1303,5625,4,1,2,1588,1205,0,618,153600
533,NWAmes,6,6,1909,1977,1442,11043,6,2,2,1481,687,0,421,231200
534,Timber,4,6,1913,1997,1347,12437,6,1,0,986,922,1433,0,191600
535,NoRidge,6,7,1900,1985,830,20324,3,2,3,900,1227,109,608,246600
536,NridgHt,7,5,1917,1976,2769,9078,3,1,1,992,1165,0,300,371700
537,SawyerW,7,7,2007,2007,2256,3274,2,2,2,1134,611,557,520,279300
538,NAmes,4,6,1901,2005,2354,10937,4,2,2,1257,1265,729,636,263600
539,Somerst,6,6,1982,1982,1238,11478,4,2,3,1031,429,749,801,214600
540,Mitchel,4,6,1936,1950,1075,7190,1,2,2,1037,1706,0,525,134200
541,Mitchel,5,6,1928,2004,2200,12125,4,1,2,1398,881,1433,377,273000
542,Gilbert,6,7,1989,1989,1072,9721,2,1,3,1306,988,0,441,223200
543,NAmes,6,5,1966,1977,2589,11926,5,2,2,1832,1536,0,351,336800
544,NWAmes,3,4,1951,1959,1581,4452,5,1,0,1499,1395,0,0,177100
545,CollgCr,6,5,1894,1994,2505,11128,4,2,0,523,1540,714,0,262400
546,NAmes,6,8,1872,1980,537,4395,5,2,2,1003,1478,0,497,127800
547,Gilbert,6,7,1886,1972,1291,5350,2,2,2,921,1248,762,342,190400
548,Sawyer,6,5,2001,2001,2262,9389,1,2,1,640,668,44,330,295400
549,NWAmes,8,5,1889,1982,1370,6699,5,2,2,1091,500,0,610,201800
550,SawyerW,2,5,1926,2004,1575,6719,3,1,2,1408,1176,0,496,156900
551,CollgCr,6,6,1910,1972,1494,9259,4,2,2,939,1100,234,555,220100
552,Sawyer,3,5,1877,1952,868,8850,4,2,2,1145,1408,0,463,122600
553,NoRidge,5,5,1979,1979,1223,4266,2,1,2,1084,846,55,579,230000
554,NAmes,7,5,1975,1975,2230,7887,1,2,1,1201,774,734,222,268400
555,Timber,10,6,1920,1973,662,13876,5,2,2,603,1098,0,577,271600
556,Crawfor,7,7,1918,1975,1336,10153,3,2,2,1736,989,148,392,205300
557,Crawfor,6,5,1946,2002,1627,24951,5,2,2,1267,553,815,721,234500
558,NAmes,7,6,1909,1977,1111,11492,6,3,2,802,1167,1386,447,203400
559,Edwards,5,7,1982,1982,1761,19547,1,1,2,1992,2055,0,321,231300
560,Timber,7,5,1988,1988,2150,4628,2,2,1,862,1197,0,163,348700
561,SawyerW,7,6,2004,2004,1829,8523,4,1,3,825,1602,0,808,289200
562,BrkSide,8,6,1970,1978,1899,5097,2,1,2,1139,1789,354,516,233100
563,Mitchel,6,6,2005,2005,1190,6010,1,1,2,1216,1208,723,358,197400
564,Edwards,7,7,1887,1956,1429,21213,3,3,1,1511,1374,0,289,170700
565,BrkSide,6,6,1934,1969,1297,3674,5,2,2,1595,963,512,503,182200
566,Mitchel,6,6,1961,1995,1883,14372,6,2,2,1149,718,0,570,267600
567,CollgCr,6,6,1893,1953,2277,11394,4,2,2,1223,871,896,398,250100
568,NoRidge,7,5,1906,1979,1733,12470,2,1,2,543,1740,1316,452,341700
569,Gilbert,6,7,1994,1994,1072,7635,6,2,2,1797,1011,0,568,172300
570,SawyerW,6,6,1892,1976,371,18056,2,2,2,699,1124,1562,722,112100
571,BrkSide,5,5,1943,1975,1614,9792,1,1,1,1159,857,366,187,145900
572,OldTown,6,5,1911,1987,1915,11983,1,2,2,1522,1220,0,442,181700
573,OldTown,5,5,1931,1962,1075,3262,2,2,2,791,1511,0,199,135100
574,Crawfor,6,6,1936,1972,1527,5024,5,2,1,1539,1893,377,264,201900
575,Edwards,4,4,1968,2004,875,7228,6,2,1,802,407,0,129,134500
576,Somerst,8,5,1880,1993,1658,11818,6,1,2,1248,1056,451,374,246600
577,Gilbert,5,5,1979,1990,678,4681,1,1,2,1200,1415,1450,472,142900
578,Crawfor,8,6,1986,1986,1840,3695,3,3,2,320,1483,932,386,288900
579,SawyerW,5,7,1876,1974,1200,9121,3,1,1,1126,1584,0,276,157900
580,Sawyer,9,7,1970,1970,1675,5348,2,2,2,827,959,0,591,250400
581,Mitchel,7,5,1947,1985,1455,9883,5,1,2,1803,500,1530,451,229200
582,Crawfor,5,6,1948,1998,1965,7305,1,1,2,998,1715,0,404,211400
583,Sawyer,7,6,1968,2001,1990,11623,1,1,2,995,1344,0,294,274600
584,Crawfor,7,6,1959,1967,1397,4140,1,1,1,982,1197,0,230,185800
585,Timber,8,6,1888,1970,2477,6468,5,1,2,733,1439,1197,397,322700
586,Gilbert,6,4,1968,1968,1679,7309,3,2,2,1530,1162,1081,419,234800
587,SawyerW,8,5,1960,1969,525,13788,3,2,2,0,1414,0,596,190800
588,NWAmes,6,4,1971,1975,1161,6688,1,1,2,1290,364,1254,401,197100
589,NridgHt,4,7,1901,1979,848,8705,4,1,2,1295,1448,0,260,174100
590,Gilbert,7,7,1994,1994,934,5098,3,1,2,422,1523,0,384,225900
591,Crawfor,6,4,1889,1997,1350,11281,6,1,1,1019,1302,1343,194,188100
592,Crawfor,6,4,1876,2005,1108,12034,4,2,1,1077,942,0,118,154600
593,Edwards,7,6,1967,1998,1576,8162,1,2,1,989,1138,0,368,205200
594,NridgHt,8,5,1954,1991,1182,6345,1,1,3,991,1568,0,546,273900
595,NridgHt,5,6,1885,1976,2473,6441,5,1,3,411,1425,0,678,395000
596,Gilbert,5,8,1906,1985,1732,7465,1,1,2,829,1345,0,548,207700
597,Somerst,6,5,1883,1954,535,11360,5,1,1,1353,1417,228,314,146200
598,Timber,7,6,1925,2002,1781,7338,6,2,1,1137,1388,1139,269,344200
599,OldTown,6,5,1969,1994,1522,15604,6,2,2,761,946,0,640,172500
600,Sawyer,6,7,1889,2004,668,8082,1,2,2,1017,1147,925,327,161100
601,NridgHt,5,4,2004,2004,1214,4966,4,1,1,1094,1591,0,197,233200
602,Timber,5,4,2002,2007,1431,20836,3,1,2,908,1180,0,546,257400
603,NAmes,5,6,1953,1953,1447,6195,3,1,2,1053,729,1289,407,211000
604,CollgCr,5,7,1953,1989,796,5551,6,1,2,980,852,0,351,155200
605,BrkSide,7,5,1901,1981,2054,7173,3,2,2,948,846,1583,380,227800
606,SawyerW,5,5,2008,2009,1706,15705,5,2,1,476,702,0,194,233400
607,SawyerW,9,4,2009,2009,1927,13827,2,1,1,1523,806,919,182,257700
608,NoRidge,3,6,1954,1982,1517,11488,1,3,1,1305,1885,1410,220,266100
609,NAmes,5,4,2001,2001,1359,10777,4,3,2,661,1106,155,269,221100
610,OldTown,6,8,1877,1969,1944,10335,2,2,2,1288,1796,0,309,222300
611,BrkSide,6,6,1989,1998,1539,10156,5,1,2,1483,1585,0,504,204700
612,NoRidge,6,6,1945,1993,1885,10888,5,2,2,987,707,132,396,342900
613,NWAmes,6,5,1903,1995,1751,7253,6,2,2,1325,992,0,453,253300
614,Sawyer,7,5,1988,1988,1507,5766,4,1,2,884,816,0,381,266300
615,NWAmes,4,5,1893,1951,2294,12719,1,2,0,1455,1400,76,0,243100
616,OldTown,8,6,1891,1952,2106,5216,1,2,2,869,1205,1352,341,222900
617,OldTown,4,7,1993,1993,2069,8745,1,1,2,663,565,0,395,190200
618,Timber,5,6,1926,1973,1213,6235,5,1,2,467,1050,0,575,222200
619,OldTown,6,5,1878,1995,714,5830,1,1,0,309,1191,84,0,110200
620,Somerst,7,6,1887,1976,1324,11930,2,1,1,2160,1278,1185,260,236600
621,SawyerW,7,5,1950,1975,1277,10003,6,1,2,591,744,16,465,197800
622,NridgHt,8,7,1918,1958,2398,15998,3,3,2,1155,946,399,496,441300
623,Somerst,6,5,1881,1961,334,7230,6,1,0,874,1199,0,0,125200
624,Somerst,7,5,1962,1986,2552,11252,3,2,2,1222,1216,1136,317,395900
625,SawyerW,5,6,1893,1995,1795,5924,3,1,1,1951,782,876,284,213800
626,Crawfor,7,5,1896,2001,1847,10086,2,2,0,930,1122,1403,0,249600
627,BrkSide,7,7,1923,1950,2466,4909,2,1,2,623,999,363,468,215800
628,Mitchel,6,6,1963,1967,2441,5909,2,1,3,908,1467,292,896,265100
629,Timber,5,5,1937,1955,1798,10695,1,1,3,1162,1049,518,884,286400
630,CollgCr,8,7,1951,1966,1669,3815,3,1,1,1276,1376,1573,237,258300
631,SawyerW,7,6,1964,1971,1778,15706,2,2,2,915,1486,1568,564,236200
632,NAmes,8,7,1915,1986,1750,9405,2,1,1,1480,1414,0,257,254900
633,OldTown,6,5,2009,2009,1659,6950,2,1,0,966,1506,0,0,207200
634,Gilbert,7,6,1917,2001,1877,10118,6,2,2,922,1068,1598,405,226100
635,BrkSide,9,7,1983,1983,1194,12082,6,1,2,618,688,0,667,208600
636,NoRidge,7,5,1989,1989,1894,23108,1,2,2,1808,691,568,355,367800
637,Timber,8,7,1970,1996,944,4258,3,2,2,814,1353,0,335,236400
638,Crawfor,8,6,1917,1966,1518,6436,3,1,2,1736,1942,404,545,252800
639,Gilbert,8,6,1886,2004,1821,15939,4,1,2,632,908,0,557,226100
640,NWAmes,6,3,1939,1961,472,7967,6,1,2,744,1702,622,687,152600
641,NAmes,8,4,2001,2009,456,10713,2,2,2,1130,620,492,204,154700
642,NoRidge,7,5,1993,2008,1658,3300,5,2,2,832,1200,0,556,359400
643,BrkSide,6,7,1916,2002,609,10995,3,1,1,952,555,0,244,104900
644,SawyerW,6,4,1905,1971,1557,8547,1,1,3,228,880,426,958,217000
645,Edwards,7,5,1910,1970,1256,9086,3,2,2,558,728,1005,332,175600
646,Sawyer,7,6,1889,1979,1742,9694,6,3,2,1262,1578,1101,568,251100
647,NAmes,4,6,1947,1964,2034,5094,1,2,2,1252,1898,1418,396,206600
648,Somerst,9,7,1897,1967,801,5830,3,2,2,631,476,0,350,236800
649,CollgCr,6,6,1895,1965,2214,17142,4,2,3,987,819,979,977,323200
650,Crawfor,7,5,1907,2004,1487,7583,2,1,1,470,2061,907,265,189200
651,NoRidge,8,4,1916,1988,1881,23504,5,1,2,1265,1855,0,582,387100
652,Sawyer,5,7,1899,1953,2340,15479,5,1,2,1621,1380,50,323,255000
653,Mitchel,7,6,1880,1960,1741,9303,6,1,1,382,1043,1290,302,216900
654,NWAmes,5,6,1993,1993,1401,8908,4,1,2,1201,782,397,475,203800
655,NoRidge,6,5,1989,1989,1464,8252,5,1,2,364,982,27,532,304600
656,Somerst,8,6,1987,1987,1637,7478,4,1,2,1610,897,1574,369,320400
657,SawyerW,8,5,1954,1961,1907,7701,2,1,2,2047,1547,1259,528,247700
658,NWAmes,5,5,1978,1983,2297,27970,5,2,2,1160,1045,0,617,289200
659,Crawfor,4,5,1922,1996,1846,8416,6,2,2,628,1228,931,422,216100
660,Mitchel,3,7,1889,1950,378,15646,6,1,2,983,2171,0,457,78600
661,Gilbert,8,5,1976,1990,2300,7266,6,1,2,1169,1133,1297,608,293300
