fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,type
6.3,0.59,0.49,3.9,0.034,23,95,0.9969,3.6,0.75,12.6,4,red
9.3,0.59,-0.06,3.3,0.046,15,11,0.9971,3.23,0.8,10.9,4,red
7.1,0.38,0.43,1.8,0.041,20,71,0.9966,3.25,0.45,10.1,6,red
7.7,0.49,0.23,2.8,-0.014,9,39,0.999,3.22,0.65,11.7,5,red
6.7,0.35,0.05,2.1,0.053,7,-20,0.9955,3.53,0.76,9.1,6,red
7.9,0.71,0.34,-0.5,0.091,12,15,0.9965,3.1,0.41,11.6,6,red
9.4,0.61,0.27,2.2,0.073,18,70,0.9969,3.36,0.68,11.9,5,red
8.8,0.55,0.53,1.9,0.027,30,66,0.996,3.09,0.84,11.6,5,red
10.4,0.56,0.16,3.6,-0.029,14,136,0.9937,3.53,0.55,9.5,5,red
7.1,0.75,0.51,1.0,0.052,20,51,0.9996,3.42,0.84,10.7,4,red
8.2,0.89,0.26,1.1,0.047,6,-14,0.9952,3.22,0.66,11.7,6,red
10.1,0.54,0.35,4.0,0.176,25,13,0.9952,3.58,0.68,11.0,6,red
6.6,0.54,0.2,1.2,0.086,12,30,0.9924,3.19,0.83,10.5,6,red
10.2,0.6,0.09,1.5,0.169,14,35,0.9968,3.33,0.54,10.7,6,red
10.8,0.79,0.45,3.2,0.053,17,34,0.997,2.98,0.44,13.8,4,red
6.3,0.67,0.26,3.5,0.136,10,55,0.9991,3.4,0.61,9.4,4,red
12.4,0.6,0.21,4.5,0.098,4,94,0.996,3.26,0.72,9.1,5,red
7.7,0.67,0.46,2.0,0.049,21,58,0.9972,3.28,0.72,9.5,6,red
5.3,0.61,0.55,2.1,0.099,26,-19,0.9986,3.17,0.71,12.8,5,red
6.3,0.28,0.17,2.3,0.077,2,57,0.9993,3.14,0.53,11.3,5,red
7.9,0.72,0.58,1.7,0.073,19,-15,0.9974,3.23,0.74,9.9,7,red
7.5,0.39,0.12,3.1,0.009,19,23,0.996,3.5,0.64,12.9,6,red
6.9,0.51,0.31,2.0,0.18,12,102,0.999,3.37,0.92,9.3,6,red
6.1,0.39,0.43,0.8,0.113,12,-23,0.999,3.18,0.81,9.8,6,red
5.8,0.48,-0.38,0.0,0.035,27,109,0.9934,2.98,0.75,9.2,5,red
11.0,0.57,0.08,2.3,0.105,39,61,0.9974,3.6,0.63,10.6,6,red
8.8,0.77,0.19,3.4,0.071,30,55,0.9986,2.94,0.6,11.0,8,red
9.9,0.45,0.32,1.5,0.153,22,-1,0.9981,3.48,0.62,10.6,6,red
6.6,0.79,0.27,0.7,0.073,28,46,0.9962,3.38,0.71,11.8,6,red
7.5,0.24,-0.2,4.6,0.085,21,27,0.9958,3.28,0.83,10.1,4,red
6.5,0.31,0.19,2.0,0.058,9,15,0.9993,3.22,0.41,10.2,5,red
7.4,0.38,-0.03,3.8,0.11,20,39,0.9972,3.42,0.57,10.8,6,red
10.0,0.67,0.15,4.0,0.086,2,121,0.9964,3.47,0.87,12.4,6,red
7.5,0.36,0.2,4.6,0.146,8,69,0.9964,3.48,0.56,11.0,5,red
8.0,0.31,0.31,2.4,0.101,26,36,0.9967,3.48,0.52,10.2,6,red
7.1,0.85,0.18,0.5,0.202,14,56,0.9964,3.08,0.84,11.3,5,red
9.5,0.51,0.27,-0.2,0.08,7,29,0.9989,3.21,0.75,10.2,7,red
7.3,0.8,0.16,2.1,0.05,10,67,0.9975,3.22,0.7,10.7,6,red
10.4,0.72,0.33,4.9,0.053,3,3,0.9974,3.32,0.76,10.3,7,red
7.6,0.68,0.02,2.6,0.053,19,72,0.9963,3.35,0.61,9.2,5,red
12.4,0.76,0.25,4.4,0.049,11,-7,0.9978,3.47,0.67,9.8,6,red
10.3,0.48,0.05,1.1,0.158,13,34,0.995,3.31,0.68,12.1,6,red
8.2,0.32,0.19,4.5,0.075,20,80,0.997,3.43,0.6,10.8,6,red
8.4,0.62,0.31,3.4,0.101,20,103,0.9936,3.26,0.6,10.6,6,red
10.6,0.47,0.1,2.7,0.027,3,-30,0.9962,3.62,0.51,10.5,5,red
8.9,0.64,0.24,3.8,0.087,4,5,0.9957,3.21,0.57,10.2,6,red
9.3,0.69,0.2,1.7,-0.023,15,44,0.9966,3.21,0.59,10.5,6,red
11.9,0.38,0.66,3.1,0.104,23,68,0.9959,3.35,0.34,10.1,5,red
8.7,0.42,0.33,1.3,0.062,9,24,0.9977,3.48,0.76,10.7,6,red
4.7,0.51,0.36,1.6,0.163,10,43,0.9954,3.19,0.71,9.3,6,red
8.6,0.76,0.1,1.2,0.126,17,45,0.9984,3.27,0.91,11.2,5,red
10.3,0.39,-0.21,1.2,0.125,17,42,0.9997,3.26,0.44,10.4,6,red
8.8,0.86,0.15,0.1,0.046,15,44,0.9946,3.16,0.49,9.1,5,red
6.3,0.23,-0.04,5.7,0.104,20,46,0.9979,3.23,0.82,10.1,6,red
8.2,0.82,0.31,0.8,0.179,6,99,0.9962,3.21,0.45,10.0,5,red
10.8,0.57,0.32,3.9,0.052,32,39,0.9985,3.51,0.65,11.5,7,red
5.9,0.63,0.3,0.1,0.048,13,88,0.9946,3.34,0.62,10.3,7,red
5.4,0.63,0.25,1.7,0.09,34,44,0.999,3.24,0.92,9.6,7,red
6.9,0.11,0.1,2.0,0.099,-7,23,0.996,3.59,0.65,8.3,7,red
10.2,0.48,0.13,4.5,0.119,-2,37,0.9963,3.58,0.65,9.8,7,red
4.8,0.5,0.34,3.0,0.113,15,-11,0.9963,3.57,0.7,11.7,7,red
8.5,0.75,0.64,1.0,0.098,26,10,0.9946,3.24,0.51,10.9,7,red
9.1,0.52,0.31,2.2,0.054,18,22,0.9982,3.47,0.57,9.5,6,red
8.3,0.79,0.33,4.2,0.181,15,51,0.9956,3.63,0.47,10.3,5,red
5.8,0.86,0.63,4.0,0.159,19,100,0.9976,3.25,0.77,10.5,7,red
8.5,0.64,0.26,1.6,0.11,16,35,0.9962,3.28,0.78,12.1,6,red
6.4,0.56,0.09,0.4,0.147,37,12,0.9963,3.25,0.52,10.5,7,red
8.5,0.35,0.34,1.6,0.086,10,74,0.9986,3.34,0.62,9.9,5,red
6.8,0.65,0.58,3.5,0.031,29,53,0.9938,3.58,0.69,10.8,5,red
8.9,0.48,0.44,0.0,0.131,8,85,0.9923,3.32,0.42,11.1,5,red
8.2,0.78,0.31,2.3,0.029,13,78,0.9954,3.23,0.75,11.3,5,red
6.2,0.27,-0.1,0.8,0.186,6,65,0.9965,3.3,0.48,11.2,6,red
9.2,0.41,-0.02,1.8,0.036,25,58,0.9962,3.49,0.37,12.7,5,red
8.1,0.7,0.33,3.2,0.156,29,79,0.9953,2.89,0.67,9.2,5,red
8.8,0.84,0.2,2.4,0.177,14,76,0.9999,3.37,0.76,10.3,5,red
8.6,0.66,0.25,3.5,0.026,22,78,0.9991,3.28,0.81,10.4,5,red
10.0,0.76,0.46,4.2,0.021,17,77,0.9916,3.21,0.74,9.1,6,red
9.3,0.57,0.03,7.7,0.114,22,44,0.9954,3.05,0.54,9.3,8,red
9.0,0.84,0.15,3.8,0.162,28,20,0.9974,3.4,0.97,10.2,6,red
5.1,0.58,0.5,3.3,0.123,4,47,0.9973,3.27,0.67,10.1,5,red
7.6,0.63,0.03,1.6,0.051,5,33,0.9952,3.38,0.5,9.9,6,red
3.8,0.58,0.49,3.8,0.163,10,16,0.9992,3.14,0.82,8.5,5,red
5.7,0.49,0.34,4.7,0.196,11,99,0.995,3.02,0.71,9.2,7,red
10.1,0.62,0.25,1.6,0.046,18,46,0.9966,3.13,1.01,9.8,6,red
7.3,0.59,0.3,1.7,0.108,16,12,0.9966,3.28,0.92,10.2,5,red
10.0,0.62,0.34,1.6,0.12,14,91,0.9972,3.04,0.59,10.7,6,red
6.8,0.14,0.39,0.6,0.077,15,50,0.9956,3.33,0.45,10.2,6,red
7.9,0.38,-0.12,2.5,0.048,18,79,0.9976,3.56,0.58,9.7,6,red
8.3,0.45,0.51,0.6,0.041,8,34,0.9951,2.94,0.27,10.8,6,red
10.7,0.27,0.32,2.4,0.007,-6,66,0.9973,3.2,0.67,10.7,6,red
9.8,0.37,0.49,2.9,0.131,6,68,0.9956,3.28,0.83,9.4,8,red
7.2,0.67,0.35,2.9,0.066,28,50,0.9993,3.28,0.66,12.5,7,red
7.3,0.6,0.68,1.8,0.169,-11,26,0.9962,3.51,0.74,8.0,5,red
8.4,0.72,0.13,0.3,0.116,28,60,0.997,3.25,0.79,11.1,6,red
12.2,0.7,0.58,4.2,0.086,10,66,0.9988,3.27,0.91,11.4,8,red
8.2,0.72,0.11,0.0,0.159,25,7,0.9971,3.25,0.69,11.5,6,red
6.7,0.55,0.37,2.7,0.087,5,126,0.9982,3.38,0.62,10.8,7,red
6.8,0.78,0.47,4.6,0.064,-10,100,0.9944,3.56,0.56,9.0,8,red
7.8,0.44,0.27,2.6,0.125,7,51,0.9977,3.31,0.93,12.5,5,red
8.7,0.77,-0.1,4.3,0.064,15,75,0.9963,3.54,0.56,9.0,6,red
6.6,0.7,0.3,3.2,0.098,20,46,0.9983,3.32,0.97,9.3,6,red
9.7,0.66,0.18,0.5,0.106,1,26,0.9976,3.12,0.6,9.9,5,red
7.0,0.54,0.44,4.3,0.092,20,78,0.9977,3.48,0.52,9.1,7,red
10.3,0.42,0.1,1.7,0.107,16,20,0.998,3.31,0.73,9.1,6,red
8.6,0.54,0.17,1.9,0.107,9,59,0.9987,3.52,0.7,9.5,4,red
7.6,0.26,0.14,3.5,0.098,17,25,0.9928,3.43,0.38,8.3,6,red
3.4,0.72,0.21,1.2,0.064,17,19,0.9952,3.45,0.78,10.5,5,red
7.5,0.45,0.29,3.8,0.04,21,51,0.9967,3.2,0.35,9.9,6,red
8.2,0.46,0.38,3.1,0.054,18,81,0.9945,3.17,0.97,10.2,4,red
8.2,0.21,0.36,4.8,0.057,17,55,0.9962,3.3,0.42,10.7,6,red
9.2,0.35,0.03,4.1,0.119,37,49,0.9971,3.11,0.71,10.3,7,red
7.5,1.01,0.11,2.2,0.17,-5,-13,0.9997,3.15,0.75,9.7,5,red
9.2,0.42,0.16,1.9,0.088,2,40,0.9981,3.2,0.82,10.9,4,red
6.6,0.72,0.2,1.5,0.146,27,0,0.9981,3.13,0.42,10.1,6,red
9.9,0.3,0.11,2.1,0.055,1,48,0.9968,3.29,0.75,9.5,6,red
9.9,0.29,0.13,1.2,0.082,25,46,0.9934,3.31,0.48,10.3,7,red
8.7,0.53,0.52,2.1,0.08,19,45,0.9953,3.23,0.7,11.8,6,red
9.5,0.54,0.33,0.7,0.116,2,45,0.9936,3.12,0.33,9.8,6,red
7.7,0.42,0.06,1.1,0.059,26,63,0.9978,3.19,0.75,11.1,5,red
7.9,0.53,0.35,4.4,0.123,28,65,0.9969,3.34,0.88,9.4,6,red
7.8,0.39,0.19,0.6,0.105,16,58,0.9971,3.27,0.61,10.4,7,red
10.4,0.75,0.62,0.5,0.096,15,78,0.9977,3.33,0.68,10.7,6,red
8.5,0.89,0.15,1.5,0.061,30,-33,0.9958,3.18,0.77,9.5,6,red
6.9,0.72,0.18,4.4,0.01,-2,14,0.9942,3.37,0.72,10.0,4,red
8.1,0.29,0.21,1.2,0.067,23,61,0.9959,3.43,0.39,9.4,7,red
7.4,0.61,0.06,2.1,0.123,1,47,0.9976,3.11,0.45,9.5,6,red
8.5,0.43,0.36,2.9,0.005,22,18,0.9935,3.24,0.59,10.4,6,red
7.9,0.43,0.28,3.2,0.014,15,61,0.9971,3.06,0.68,12.1,6,red
5.9,0.66,0.33,2.3,0.074,16,71,0.9944,3.43,0.58,10.9,6,red
6.4,0.55,0.28,3.0,0.048,33,22,0.9978,3.64,0.68,10.4,6,red
7.6,0.55,0.3,3.8,0.239,-1,25,0.9943,3.45,0.83,11.9,5,red
10.6,0.54,0.58,0.7,0.099,23,-7,0.9982,3.29,0.6,9.0,5,red
5.1,0.37,0.37,1.5,0.069,15,43,0.994,3.33,0.47,11.9,5,red
8.9,0.35,-0.07,1.3,0.141,17,45,0.9949,3.4,0.74,10.0,7,red
10.9,0.48,0.33,2.0,0.084,25,12,0.998,3.12,0.87,10.7,5,red
9.9,0.5,0.49,4.2,0.083,24,29,0.9964,3.32,0.71,11.1,6,red
8.3,0.6,-0.17,3.9,0.173,22,45,0.993,3.31,0.58,10.9,5,red
7.9,0.69,0.05,2.4,-0.011,7,77,0.998,3.28,0.63,10.0,5,red
9.4,0.5,0.38,3.6,0.042,22,34,0.9927,3.25,0.58,11.3,5,red
10.9,0.56,0.45,5.5,0.112,24,17,0.9964,3.32,0.71,10.0,7,red
9.5,0.7,0.3,0.8,0.042,21,95,1.0006,3.16,0.3,10.0,5,red
8.6,0.48,0.35,1.6,0.042,23,69,0.9969,3.2,0.68,10.4,7,red
10.4,0.61,0.53,2.1,0.126,17,4,0.996,3.35,0.63,11.0,8,red
8.6,0.57,0.17,3.0,0.056,4,70,0.9966,3.3,0.81,9.4,6,red
8.5,0.47,0.09,3.2,0.105,12,29,0.9946,3.31,0.42,9.5,5,red
9.4,0.3,0.22,1.0,0.075,11,80,0.997,3.46,0.46,8.6,5,red
7.2,0.36,0.3,2.8,0.104,16,33,1.0008,3.29,0.72,10.1,5,red
13.4,0.72,0.33,3.7,0.083,12,-13,0.9959,3.28,0.88,11.6,5,red
8.6,0.24,0.42,0.8,0.127,35,28,0.9952,3.41,0.64,13.9,6,red
8.0,0.85,0.59,2.7,0.132,21,18,0.9976,3.57,0.62,10.7,4,red
9.7,0.41,0.31,1.6,0.054,15,25,0.9981,3.24,0.53,12.2,6,red
10.2,0.21,0.03,0.5,0.011,19,-29,0.9969,3.38,0.67,10.5,5,red
7.1,0.43,0.12,3.9,0.081,20,43,0.9961,3.27,0.5,10.5,5,red
5.4,0.12,0.3,3.2,0.06,39,-20,0.9978,3.17,0.43,10.3,5,red
7.7,0.22,0.55,1.2,0.054,21,42,0.9939,3.31,0.75,10.4,6,red
8.8,0.55,0.39,3.8,0.006,12,-33,0.9958,3.4,0.51,10.4,7,red
7.0,0.25,0.1,5.5,0.068,5,10,0.9923,3.18,0.77,10.1,5,red
8.3,0.26,0.15,2.6,0.089,18,65,0.9965,3.48,0.65,12.3,7,red
8.1,0.54,0.21,0.6,0.059,37,69,0.9963,3.25,0.83,11.0,5,red
5.5,0.54,0.28,2.1,0.085,14,20,0.9987,3.24,0.48,9.7,5,red
9.4,0.62,0.22,-0.2,0.118,6,64,0.9951,3.42,0.8,11.1,7,red
9.8,0.57,0.1,2.3,0.154,26,-14,0.9987,3.35,0.66,11.5,4,red
8.6,0.52,0.13,2.0,0.159,17,79,0.9963,3.2,0.41,9.1,5,red
9.0,0.63,0.26,3.6,0.056,-1,85,0.9979,3.11,0.54,11.5,5,red
7.2,0.69,0.31,1.7,0.052,18,40,0.9982,3.57,0.54,11.4,5,red
8.1,0.54,0.09,3.8,0.022,28,32,0.9968,3.34,0.73,10.8,5,red
9.4,0.62,0.33,1.4,0.125,-6,-31,0.9972,3.59,0.5,12.1,4,red
6.0,0.06,0.61,2.3,0.096,23,44,0.9956,3.24,0.45,11.5,6,red
6.6,0.45,0.31,0.5,0.154,3,68,0.999,3.36,0.59,10.0,6,red
5.9,0.79,0.32,1.0,0.096,14,58,1.0018,3.13,0.82,10.6,7,red
11.2,0.43,0.01,3.6,0.061,11,51,0.9939,3.16,0.68,12.0,5,red
7.8,0.62,0.41,4.0,0.085,28,-1,0.9968,3.25,0.61,9.9,6,red
10.7,0.57,0.16,1.6,0.077,26,51,0.9962,3.56,0.76,10.0,7,red
8.2,0.42,0.47,3.2,0.053,2,18,0.9975,3.34,0.49,10.8,6,red
11.3,0.61,0.61,3.6,0.091,-5,93,0.9936,3.47,0.96,10.2,7,red
10.4,0.45,0.14,1.0,0.046,0,66,0.9947,3.61,0.94,13.1,7,red
7.1,0.44,0.15,3.1,0.152,20,55,1.0,3.45,0.58,11.9,6,red
8.5,0.44,0.37,2.5,0.006,-8,48,0.9995,3.45,0.67,12.8,6,red
6.6,0.37,0.03,3.0,0.144,9,15,0.9937,3.33,0.64,11.8,6,red
9.4,0.35,0.29,2.3,0.063,26,20,1.0004,3.53,0.57,10.7,6,red
10.1,0.44,0.22,-0.5,-0.05,22,109,0.9953,3.36,0.81,8.3,5,red
11.5,0.54,0.25,2.7,0.002,-2,17,0.9983,3.48,0.41,10.8,6,red
10.6,0.46,-0.11,2.3,0.084,18,47,0.9965,3.26,0.59,9.3,6,red
9.0,0.45,0.37,2.0,0.067,6,50,0.9972,3.41,0.74,8.8,5,red
8.9,0.99,0.74,0.2,0.106,9,47,0.997,3.37,0.92,11.7,6,red
7.9,0.66,0.19,3.9,0.067,10,52,0.9985,3.26,0.89,9.3,7,red
11.4,0.23,-0.0,2.6,0.114,11,108,0.9958,3.1,0.54,9.7,6,red
6.8,0.58,0.42,-0.3,0.087,15,51,1.0003,3.36,0.52,9.9,6,red
6.5,0.58,0.1,4.4,0.118,8,63,0.9989,3.38,0.59,10.6,6,red
6.4,1.16,0.28,3.1,0.128,9,36,0.9961,3.16,0.9,10.4,4,red
10.1,0.59,0.14,3.8,0.111,25,40,0.9968,3.33,0.73,11.2,5,red
9.9,0.91,-0.0,2.1,0.073,16,62,0.997,3.35,1.14,11.1,8,red
9.1,0.46,0.33,2.5,0.154,4,93,0.996,3.48,0.76,8.8,6,red
8.8,0.39,0.14,4.0,0.084,17,89,0.9961,3.36,0.94,12.1,5,red
6.3,0.32,-0.03,3.1,0.053,0,-57,0.9983,3.42,0.64,9.2,6,red
8.8,0.69,0.33,2.3,0.067,17,-9,0.9979,3.29,0.52,9.4,5,red
10.4,0.37,0.82,1.6,0.105,22,115,0.9957,3.26,1.06,12.3,6,red
6.5,0.41,0.46,-1.1,0.134,24,29,0.9969,3.29,0.43,10.3,6,red
6.2,0.62,0.26,3.8,0.118,20,34,0.9949,3.24,0.7,11.6,6,red
8.8,0.47,0.85,3.8,0.118,5,27,1.0,3.27,0.68,11.2,7,red
9.6,0.56,-0.06,3.5,0.07,10,4,0.9982,3.39,0.56,10.9,5,red
9.7,0.3,0.38,4.1,0.138,28,21,0.9966,3.39,0.72,9.7,6,red
10.4,0.1,0.62,1.2,0.087,13,29,0.9971,3.38,0.63,10.2,7,red
8.6,0.76,0.08,2.0,0.061,15,30,0.9983,3.36,0.51,12.2,6,red
5.5,0.74,0.33,1.8,-0.003,23,14,0.9957,3.51,0.44,9.7,7,red
9.2,0.49,0.15,-0.2,0.115,32,77,0.9967,3.51,0.73,10.5,6,red
10.3,0.55,0.21,1.7,0.059,15,43,0.9981,3.33,0.52,11.0,5,red
7.2,0.36,0.35,2.7,0.036,12,51,0.9944,3.54,0.57,10.0,4,red
8.1,0.48,-0.07,4.0,0.027,36,49,0.9978,3.52,0.52,9.7,5,red
4.6,0.97,0.08,3.2,0.129,37,29,1.0015,3.33,0.52,10.2,6,red
7.8,0.85,0.28,1.6,0.095,16,23,0.9936,3.22,0.63,10.2,8,red
11.0,0.58,-0.06,3.8,0.111,16,-2,0.9984,3.26,0.44,8.8,6,red
7.5,0.19,0.2,2.9,0.077,25,70,0.9944,3.32,0.6,10.7,5,red
6.5,0.62,-0.02,0.2,0.089,20,42,0.9941,3.26,0.75,11.8,6,red
11.6,0.48,-0.01,2.8,0.085,16,87,0.996,3.16,0.76,6.8,5,red
9.3,0.46,0.45,3.6,0.032,24,59,0.9977,3.16,0.57,10.6,7,red
9.1,0.53,0.29,3.3,0.125,9,98,0.9978,3.25,0.53,7.2,7,red
8.6,0.88,0.23,0.9,0.047,28,34,0.9965,3.22,0.86,12.0,6,red
7.2,0.56,0.19,1.2,0.062,23,15,0.9947,3.03,0.72,9.8,4,red
7.9,0.71,0.33,5.4,0.104,21,108,0.9964,3.44,0.74,10.4,6,red
11.1,0.61,0.18,1.3,0.136,15,84,0.9933,3.47,0.87,9.3,6,red
7.1,0.6,0.13,2.6,0.058,9,-15,0.9983,3.4,0.83,12.5,7,red
10.6,0.65,0.47,-1.0,0.123,-3,62,0.996,2.99,0.81,12.6,6,red
8.9,0.46,0.15,4.4,0.102,-3,70,0.9988,3.28,0.36,9.2,5,red
8.9,0.29,0.52,3.7,0.077,-2,39,0.9949,3.38,0.56,9.1,7,red
5.5,0.82,0.16,5.0,0.083,29,4,0.9977,3.5,0.43,11.3,6,red
9.0,0.26,0.41,1.1,0.083,9,40,0.9933,3.64,0.89,11.3,6,red
8.2,0.58,0.32,4.3,0.098,3,53,0.9993,3.31,0.6,10.0,5,red
5.6,0.86,0.38,1.1,0.141,15,23,0.9975,3.33,0.53,9.3,7,red
8.4,0.59,0.33,4.7,0.101,6,70,0.996,3.38,0.71,12.0,5,red
7.6,0.64,0.41,-0.8,0.074,12,-6,0.9959,3.22,0.76,10.1,6,red
8.8,0.64,0.55,4.0,0.066,22,52,0.9961,3.2,0.74,10.0,6,red
6.8,0.74,0.1,2.6,0.094,12,110,0.9967,3.44,0.66,10.5,6,red
6.6,0.78,0.55,3.5,0.065,12,66,0.9937,3.41,0.86,8.8,7,red
8.5,0.27,0.21,3.3,0.003,16,94,0.9961,3.28,0.6,9.7,7,red
7.6,0.77,-0.07,3.2,0.141,1,42,0.9961,3.07,0.4,9.3,5,red
7.7,0.52,0.4,6.0,0.081,19,53,0.9986,2.99,0.59,8.3,6,red
6.2,0.39,0.43,5.1,0.079,31,32,0.9957,3.3,0.58,9.5,6,red
8.2,0.34,0.37,3.4,0.15,12,33,0.9947,3.3,0.77,10.3,6,red
9.4,0.58,0.21,2.9,0.063,17,63,0.9966,3.27,0.82,9.5,5,red
8.8,0.43,0.09,4.6,0.107,7,16,0.9978,3.44,0.53,10.2,5,red
7.7,0.54,0.17,4.7,0.087,8,74,0.9969,3.34,0.29,9.2,6,red
5.5,0.53,0.3,2.7,0.103,26,63,0.9968,3.01,0.99,11.0,7,red
6.9,0.58,0.22,2.7,0.059,18,7,0.9968,3.61,0.69,11.4,6,red
7.0,0.67,0.07,1.2,0.129,23,78,0.9964,2.93,0.31,11.1,6,red
9.7,0.74,0.22,3.0,0.17,19,116,0.9956,3.23,0.38,10.6,7,red
9.7,0.74,0.11,2.9,0.043,14,76,0.9952,3.16,0.7,11.3,6,red
8.8,0.8,0.14,4.0,0.123,29,-17,0.9968,3.38,0.57,9.7,7,red
7.7,0.48,0.41,5.1,0.093,-3,125,0.9973,3.12,0.87,9.5,7,red
10.5,0.4,0.04,4.3,0.104,7,-26,0.9968,3.41,0.57,10.3,7,red
9.4,0.51,0.33,4.1,0.109,12,-10,0.9933,3.26,0.65,9.8,8,red
4.8,0.44,0.17,2.3,0.028,16,-11,0.9985,3.42,0.56,11.9,6,red
11.0,0.29,0.32,2.0,0.05,13,37,0.9941,2.95,0.64,12.6,7,red
8.0,0.48,0.09,3.6,0.076,18,-17,0.9942,3.28,0.67,13.2,6,red
9.9,0.65,0.23,3.4,0.144,30,-27,0.9947,3.41,0.89,11.4,6,red
9.1,0.75,0.11,3.6,0.073,4,24,0.9959,3.14,0.71,10.8,6,red
6.1,0.51,0.33,1.2,0.109,32,22,0.9965,3.36,0.67,8.3,7,red
7.5,0.72,-0.08,1.2,0.09,14,36,0.9986,3.35,0.79,10.0,5,red
5.0,0.53,0.25,1.9,0.09,18,62,0.9986,3.35,0.88,9.6,6,red
7.0,0.1,0.02,3.6,0.094,16,94,0.9934,3.26,0.43,9.7,5,red
8.5,0.29,0.14,2.6,0.049,19,45,0.9933,3.42,0.55,11.8,5,red
8.4,0.6,0.2,4.7,0.08,29,61,0.9987,3.36,0.69,12.0,5,red
7.2,0.2,0.4,1.1,0.068,4,36,0.9964,3.35,0.66,9.9,6,red
7.9,0.29,-0.05,1.2,0.084,8,84,0.9947,3.22,0.56,9.7,6,red
8.5,0.26,-0.09,2.2,0.055,22,96,0.9978,3.16,0.33,10.2,7,red
9.4,0.49,0.48,1.8,0.172,7,27,0.9988,3.38,0.61,8.4,7,red
7.2,0.57,0.2,1.4,0.007,-4,2,0.9975,3.2,0.72,11.8,6,red
8.0,0.22,-0.06,2.6,0.008,23,27,0.9952,3.53,0.9,11.3,8,red
6.2,0.67,0.19,2.7,0.107,8,31,0.9926,3.62,0.66,9.1,6,red
6.2,0.53,0.18,0.8,0.126,25,39,0.9977,3.2,0.66,9.1,5,red
10.2,0.29,0.16,1.7,0.163,11,46,0.9965,3.19,0.53,12.2,5,red
10.9,0.54,0.31,3.5,0.075,28,39,0.9951,3.38,0.66,11.3,6,red
8.6,0.39,-0.06,2.1,0.087,19,4,0.9937,3.36,0.58,12.4,4,red
7.7,0.39,0.27,1.4,0.111,9,38,0.9971,3.31,0.76,9.6,6,red
7.5,0.3,0.18,2.0,0.153,3,55,0.9957,3.4,0.74,12.4,6,red
10.4,0.53,0.25,0.8,0.025,13,96,0.997,3.42,0.9,9.4,7,red
1.7,0.48,0.43,5.0,0.096,16,27,0.9984,3.19,0.71,10.6,5,red
12.2,0.48,0.46,3.7,0.117,9,45,0.9954,3.18,0.75,8.6,7,red
8.4,0.51,0.57,5.9,0.071,2,42,1.0007,3.03,0.43,9.9,5,red
4.0,0.57,-0.1,2.6,0.107,13,29,0.9965,3.06,0.72,10.6,5,red
12.5,0.49,0.33,2.0,0.058,32,30,0.9981,3.17,0.79,10.0,7,red
4.2,0.17,0.41,1.3,0.144,19,-16,0.9957,3.26,0.68,11.1,5,red
4.5,0.52,0.15,3.1,0.004,9,60,0.9978,3.43,0.65,9.6,5,red
6.8,0.36,0.26,1.9,0.075,17,68,0.995,3.4,0.63,10.5,5,red
8.0,0.73,0.52,1.2,0.114,23,32,0.9979,3.38,0.94,10.1,5,red
10.3,0.61,0.22,4.4,0.073,6,62,1.0014,3.28,0.38,10.1,4,red
7.7,0.71,0.51,2.6,0.127,13,-12,0.9946,3.65,0.87,11.3,5,red
6.9,0.43,0.25,2.9,0.09,14,94,0.9923,3.13,0.73,9.7,4,red
7.8,0.69,0.35,2.8,0.101,12,20,0.9955,3.27,0.58,10.3,5,red
7.8,0.33,0.44,3.1,0.114,3,37,0.9973,3.36,0.75,9.9,5,red
10.7,0.53,0.06,0.1,0.085,23,76,0.9969,3.15,0.73,12.2,6,red
10.1,0.37,0.34,0.9,0.009,-6,-2,0.9959,3.26,0.49,10.4,5,red
7.3,0.64,0.17,5.1,0.169,9,30,0.9987,3.09,0.84,10.4,6,red
7.7,0.84,0.49,2.4,0.151,8,22,0.9958,3.26,0.7,10.1,4,red
5.1,0.59,0.21,3.1,0.121,10,64,0.9984,3.53,0.53,10.9,5,red
9.4,0.26,0.2,3.6,0.07,31,15,0.996,3.34,0.92,10.0,6,red
8.2,0.41,0.11,2.0,0.108,13,71,0.995,3.6,0.76,9.9,5,red
9.0,1.08,0.26,1.0,0.006,27,54,0.9969,3.52,0.73,9.9,6,red
9.4,0.68,0.37,0.6,0.014,17,-6,0.997,3.09,0.84,10.5,5,red
10.9,0.39,0.28,1.1,0.2,21,73,1.0002,3.14,0.67,11.6,7,red
7.6,0.7,0.69,1.5,0.029,13,107,0.9975,3.53,0.81,10.1,7,red
8.4,0.55,0.18,1.4,0.073,23,16,0.9972,3.3,0.8,9.0,4,red
11.0,1.0,0.1,0.7,0.094,9,29,0.9969,3.09,0.57,8.8,6,red
8.0,0.54,0.24,3.8,0.103,11,3,0.9956,3.45,0.63,13.5,5,red
8.1,0.48,0.33,4.6,0.087,10,44,0.9962,3.54,0.58,9.5,6,red
12.8,0.52,0.03,1.2,0.07,5,82,0.9957,3.53,0.9,12.4,6,red
8.2,0.46,0.52,0.1,0.082,16,23,0.997,3.39,0.41,10.1,5,red
11.2,0.4,0.22,2.6,0.14,25,15,0.9938,3.49,0.72,9.4,6,red
